   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.503306        3.20409       -293.378        10.1671        16.2472        13.4274       -2065.11     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1000_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         1       0.800442        2.68638       -205.759        13.3031        9.05321        10.7773       -1895.39     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1010_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         2       0.408896        2.95012       -250.142        3.76688        8.66609        6.44749       -1210.45     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1020_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         3        0.41556        2.98662       -274.515        4.84252        8.84305        7.01004       -1272.12     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1030_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         4       0.347222         2.8573       -318.494        10.9052         29.664        21.2116       -3072.59     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1040_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         5       0.396348        3.38136       -320.462        26.9055        22.2198        23.9727       -3428.87     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1050_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         6       0.451753        3.29665       -214.749        5.99166        5.82683        5.82746       -1179.61     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1060_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         7       0.388373        3.32451       -282.117        4.87241        9.39255        7.32871       -1289.03     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1070_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         8       0.402457        2.91354       -252.351        4.19835        8.87763        6.75136       -1281.76     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1080_17_0_230.e9_6.2e9_5.53968e+29_80.dat
         9       0.445786        3.33584       -290.928        2.49178        6.86451        4.89485       -1053.93     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1090_17_0_230.e9_6.2e9_5.53968e+29_80.dat
        10       0.380985        3.02724       -221.494        2.01936        6.65442        4.57412       -982.059     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1100_17_0_230.e9_6.2e9_5.53968e+29_80.dat
        11       0.559621        3.12147       -204.349        10.1457        11.4215        10.7329       -1855.59     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1110_17_0_230.e9_6.2e9_5.53968e+29_80.dat
