   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.409092        4.36465       -183.876        12.4352        8.25639        9.95946       -1655.63     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1007_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         1       0.657182        4.07558       -176.438         13.529        8.42763        10.5267       -1835.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1017_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         2       0.537892        4.57391       -181.886         16.265        6.28441        10.5146       -1761.24     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1027_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         3       0.398922        4.39051       -192.377        9.63566        6.72539        7.89968       -1397.18     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1037_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         4       0.431056        4.63513       -254.024        7.46505         18.738        13.6476       -2118.17     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1047_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         5       0.457111        4.27081       -169.151        3.65798           7.63        5.82397       -1179.64     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1057_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         6       0.416177        4.43563       -250.982        3.46523        8.85338        6.42155       -1179.96     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1067_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         7       0.385209        4.46143       -258.056        4.90803        8.41104        6.79791       -1239.65     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1077_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         8       0.734967        4.67664        -189.98        12.4223         7.7477        9.67082        -1776.5     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1087_17_0_230.e9_6.2e9_5.4496e+42_20.dat
         9       0.392047        4.47688       -236.273        7.03102        8.56278        7.79832       -1367.33     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1097_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        10       0.471119        4.54299        -167.21        10.1521        6.01946        7.72968       -1414.09     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1107_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        11       0.473774        4.22697       -181.106        9.05777         13.405        11.3672        -1882.5     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1117_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        12       0.480707        4.22069       -249.874        5.68566        12.3718        9.33742       -1595.22     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1127_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        13       0.498447        4.55973       -162.851        11.4319        6.11767         8.3365       -1512.91     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1137_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        14       0.434861        4.48063         96.078        5.34539         7.9583        6.73469       -1256.63     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1147_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        15       0.443859        4.41524        181.178        9.50566        6.84647        7.91096       -1442.06     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1157_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        16       0.626396        4.35046        169.867         8.3929        7.25214         7.6566       -1487.39     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1167_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        17       0.465979        4.40359        177.225        11.1128        6.08306        8.17955       -1451.62     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1177_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        18       0.434449        4.42893        104.731        2.61531         9.1898        6.24206       -1178.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1187_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        19        0.37531        4.28511        139.728        5.61864        5.66759        5.57791       -1138.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1197_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        20       0.620189        4.55294        185.655         10.495        6.99435        8.42011       -1586.05     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1207_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        21       0.421896        4.30439        190.554        10.0468        7.75077        8.64764        -1519.1     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1217_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        22       0.469211        4.49082        186.371        11.2972         6.0544        8.24319       -1492.71     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1227_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        23       0.404487        4.33222         128.18        6.56855        9.37531        8.05092       -1402.55     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1237_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        24       0.607835        4.43835        167.741         6.3924         6.2796        6.25231       -1329.24     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1247_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        25       0.391509        4.48798        170.395        9.33079        5.61693        7.15133       -1316.67     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1257_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        26       0.353393        4.16477        153.466        8.33097        8.81641        8.50032       -1479.53     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1267_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        27       0.419728        4.47113        186.603        10.2654        6.97668        8.31121       -1492.19     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1277_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        28       0.747797         4.7211        192.141        5.90939        5.62119        5.67753       -1225.33     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1287_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        29       0.628269        4.42683        175.838        3.91952        6.14732        5.11177       -1171.41     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1297_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        30       0.763559        4.79923        186.297        6.40464        9.20452        7.88516       -1601.16     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1307_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        31       0.501818        4.18336        150.959        11.7638        9.54074        10.3845       -1734.57     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1317_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        32       0.407165        4.26542        140.082        4.85537         3.8517        4.23814       -972.603     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1327_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        33       0.394912        3.99285        107.526         6.1786         6.5184        6.29294       -1158.68     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1337_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        34       0.599288        4.58651         148.55         7.4842        5.90294        6.51377       -1334.43     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1347_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        35       0.457513        4.19156        86.0856        6.91655        10.6261        8.89709       -1526.89     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1357_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        36       0.418344        4.13354        175.936        5.03301         9.1359        7.25519       -1358.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1367_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        37        0.51776        4.29804        181.577        6.06772        5.63674         5.7545       -1201.05     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1377_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        38       0.407882        4.40512        109.457        2.46856         5.7953        4.28987       -927.164     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1387_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        39        0.42421         4.3556        105.361        9.54259         16.815        13.4739       -2069.71     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1397_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        40       0.490584        4.24783        185.419        9.14472        6.33273        7.46936       -1403.25     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1407_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        41       0.608471        4.54182        166.219        4.62028        9.15744         7.0891       -1376.85     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1417_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        42        0.47087        4.55807        110.208        8.66404        25.9312        18.1676        -2674.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1427_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        43       0.467826        4.35374        175.767        6.47137         6.9658        6.66821       -1285.54     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1437_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        44       0.459868        3.88972        164.035        14.0435        14.1089          13.91       -2217.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1447_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        45          0.444         4.2033         161.63         6.9064        7.15821        6.96297       -1292.22     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1457_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        46       0.449931        4.45212        95.4174        5.20182        5.51492        5.31312       -1044.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1467_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        47       0.564101         4.6133        96.5393        9.21975        21.6165        16.0064       -2446.68     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1477_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        48       0.453742        4.31763        96.1974        10.9346        9.76758        10.1529       -1681.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1487_17_0_230.e9_6.2e9_5.4496e+42_20.dat
        49       0.442604        4.23356        155.782        2.75452        4.63013        3.76489       -867.653     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_H10_a+0.94_1497_17_0_230.e9_6.2e9_5.4496e+42_20.dat
