   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.593193        4.13913        -169.33        4.02658        5.58673        4.84602       -1086.91     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1004_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         1       0.514879         4.1847       -166.677        13.2367        5.82995        8.95509       -1512.96     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1014_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         2       0.685939        3.95428       -175.091        3.09532         6.4545         4.9271        -1166.3     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1024_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         3       0.499466         4.2031       -181.837         5.3835        5.07399        5.14615       -1072.61     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1034_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         4       0.561942         3.7726       -185.835        11.6814        6.91604         8.8884       -1591.27     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1044_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         5       0.620909        4.46658       -242.533        2.67038        4.68426         3.7587       -948.671     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1054_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         6       0.533464        4.18581       -180.911         2.6123        4.50825         3.6357       -953.184     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1064_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         7       0.623741         3.8583       -172.981        6.23474         7.2742        6.73773       -1342.43     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1074_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         8       0.625112        4.03117       -169.458        2.52337         8.0929        5.59202       -1213.91     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1084_17_0_230.e9_6.2e9_6.6122e+42_40.dat
         9       0.453856        3.95259       -211.134        5.75157        4.23796        4.83974        -1013.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1094_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        10       0.810693        4.40124       -187.447        5.58767        6.15769        5.83727       -1297.56     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1104_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        11       0.506846        3.83873       -190.434        4.24799        7.06889         5.7663       -1209.35     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1114_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        12        0.58307         4.0162       -243.802        3.11384        3.62775        3.36214       -902.973     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1124_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        13       0.625396        3.98198       -259.947        4.43317        6.29614         5.4162       -1164.23     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1134_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        14       0.543822        3.45057       -229.728        8.99774        10.6999        9.83604       -1678.51     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1144_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        15       0.577032        4.24766       -188.039        1.84588        5.48325        3.84757       -944.899     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1154_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        16       0.741873        3.83344       -195.398        5.34346         6.4057        5.86991       -1241.24     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1164_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        17       0.508088        3.84687       -178.585        4.90106        7.86648        6.49189       -1277.95     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1174_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        18       0.476517        4.07964        -231.55        6.96104        7.20169        7.01075        -1255.4     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1184_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        19       0.765339        4.01939       -213.595        2.01872        4.94895        3.62483       -997.571     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1194_17_0_230.e9_6.2e9_6.6122e+42_40.dat
        20        0.50636        4.01403       -245.692        2.91428        4.29056        3.64486       -869.673     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_40/image_R17_a+0.94_1204_17_0_230.e9_6.2e9_6.6122e+42_40.dat
