   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.740912        3.59947       -168.663        13.3868        8.56744        10.5431       -1853.87     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_900_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         1       0.665101         3.6664       -166.101        10.3979         6.3997         8.0473       -1497.35     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_901_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         2       0.575917        3.53879       -167.204        10.3247        11.4824         10.844       -1840.93     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_902_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         3       0.724004        3.55911       -187.264        7.33078        6.81931        6.95749       -1421.43     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_903_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         4       0.449352        3.63852       -266.719        8.82639        8.98529        8.80804       -1483.19     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_904_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         5       0.599564        3.53795       -171.717        9.80618        9.56018        9.55067       -1690.36     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_905_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         6       0.582789        3.60842       -179.482        8.63681        8.90217        8.67999        -1575.1     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_906_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         7       0.682053        3.56726       -189.516        12.5795        7.07938        9.36677       -1689.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_907_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         8       0.784553        3.71694       -174.581        14.5059        7.02525        10.1678       -1811.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_908_17_0_230.e9_6.2e9_8.0271e+26_1.dat
         9       0.743037        3.82828       -165.926        14.4628        8.55297        10.9993       -1889.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_909_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        10       0.779557        3.66327       -164.295        13.8598        6.96729        9.85678       -1752.72     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_910_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        11       0.590931          3.698       -170.664        10.9999        6.00941        8.08988       -1476.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_911_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        12       0.560254        3.70944       -174.435        16.0813        6.03646        10.2973       -1724.44     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_912_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        13        0.52517        3.59992       -175.781        14.2047        7.72207        10.4256       -1736.66     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_913_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        14       0.660143        3.58461       -169.163         17.964        11.9539        14.4023       -2318.08     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_914_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        15       0.661239        3.43442       -169.843         12.847        7.31131        9.61124       -1715.04     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_915_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        16       0.742614        3.48544       -169.574        12.9263         8.3344        10.2147       -1820.98     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_916_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        17       0.778763        3.69313       -168.205        9.03904        7.78272        8.23062       -1582.75     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_917_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        18       0.691524         3.8553       -163.672        10.5713        7.94054        8.97952       -1611.26     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_918_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        19       0.968907        4.13424       -152.567        11.3643        7.84977        9.27116       -1712.92     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_919_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        20        0.59173        3.66315       -169.335         12.584        6.56096        9.08026       -1594.22     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_920_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        21       0.540221        3.59893       -162.081        8.24924        11.0214          9.692       -1658.11     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_921_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        22        0.50921        3.67073       -178.541        13.2671         6.5236        9.35416       -1597.55     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_922_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        23       0.600774        3.65741       -166.663        8.19261        5.72948        6.72289       -1309.66     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_923_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        24       0.498497        3.50005       -163.436         7.4172        8.78432        8.08821       -1455.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_924_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        25       0.450534        3.45042        -203.21        10.8998        8.16668        9.24711       -1564.62     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_925_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        26       0.700759        3.62807       -185.895        5.03811        5.70593        5.34877       -1199.72     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_926_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        27       0.788077         3.6346       -178.193        5.84882        6.70687        6.25553       -1335.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_927_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        28         0.7136        3.70342       -176.415        6.98495        6.05529        6.38315       -1291.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_928_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        29       0.567712        3.72246       -179.052         7.2801        5.86826        6.40642       -1274.58     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_929_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        30       0.586661        3.58177       -178.543        7.91893         9.1243        8.49387       -1557.47     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_930_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        31       0.577333        3.53377       -187.394         8.9229        6.03284        7.20679       -1369.86     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_931_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        32       0.724528        3.69966       -177.865        10.7281        9.16922        9.73088        -1741.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_932_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        33       0.585327        3.68744       -171.568        12.5786        8.68759        10.2613       -1754.46     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_933_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        34       0.614108        3.52369       -169.584        17.4649        11.4936        13.9309       -2226.32     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_934_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        35       0.561466        3.59695       -159.799        18.1104        8.69516        12.6522       -2034.47     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_935_17_0_230.e9_6.2e9_8.0271e+26_1.dat
        36       0.538254        3.51781       -162.216        11.0693        7.50159        8.95012       -1563.37     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_1/image_a+0.88_936_17_0_230.e9_6.2e9_8.0271e+26_1.dat
