   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.887419        3.29839        136.811        7.47648        20.4357        14.5972       -2447.26     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1000_163_0_2.3e+11_7.07491e+09_1.21069e+25_10.dat
         1       0.492485        3.11857        189.894        9.62052        12.7233        11.2307       -1861.05     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1010_163_0_2.3e+11_7.35538e+09_1.30456e+25_10.dat
         2       0.795935        4.26846        170.533        6.20968        13.0067        9.91678       -1748.97     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1020_163_0_2.3e+11_5.74047e+09_9.98823e+24_10.dat
         3       0.745001        4.25266        182.116        5.45141        16.1786        11.3546       -1872.38     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1030_163_0_2.3e+11_5.80522e+09_1.10667e+25_10.dat
         4       0.601198        4.08412        179.447        6.41973        10.9315        8.85263       -1561.71     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1040_163_0_2.3e+11_6.22082e+09_7.10331e+24_10.dat
         5       0.727773         3.4401         180.76        5.62685        8.11445        6.94301       -1415.43     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1050_163_0_2.3e+11_6.56484e+09_1.01449e+25_10.dat
         6       0.707144        3.83882         171.25        10.0562        5.66536        7.49125       -1438.38     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1060_163_0_2.3e+11_6.71312e+09_1.02444e+25_10.dat
         7       0.886173        4.05183        189.501        12.6022        10.1554        11.0882        -1966.4     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1070_163_0_2.3e+11_6.28031e+09_7.31167e+24_10.dat
         8       0.516448        3.77702        181.412        9.93819        7.10935        8.24385       -1462.38     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1080_163_0_2.3e+11_6.7358e+09_7.36675e+24_10.dat
         9       0.478123        3.66555          82.05         9.9931        12.3631         11.191        -1769.2     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1090_163_0_2.3e+11_7.05428e+09_8.38404e+24_10.dat
        10       0.422573         3.4768        128.206        12.2285        16.3352        14.3657        -2199.4     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1100_163_0_2.3e+11_7.1313e+09_7.77583e+24_10.dat
        11       0.385528        3.67791        109.798        7.12762        8.54932         7.8325       -1350.09     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1110_163_0_2.3e+11_7.14043e+09_7.89833e+24_10.dat
        12       0.405488        3.64686        125.065         3.2904        6.22822        4.88535       -1016.67     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1120_163_0_2.3e+11_7.0153e+09_6.99531e+24_10.dat
        13        0.66859        3.64283        148.192        5.79883        4.05842        4.76023       -1104.63     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1130_163_0_2.3e+11_6.50203e+09_8.24476e+24_10.dat
        14       0.438467        3.77332         161.72        4.45909        5.80286        5.15289       -1070.65     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1140_163_0_2.3e+11_6.81104e+09_6.29325e+24_10.dat
        15       0.651481        3.72156        178.056        6.29744        9.39805         7.9466       -1539.93     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_08/image_a+0.94_1150_163_0_2.3e+11_6.78846e+09_6.37693e+24_10.dat
