   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.607069          3.637        199.264        12.7055        23.3121        18.4539        -2805.5     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0600_163_0_2.3e+11_6.55111e+09_6.82442e+27_160.dat
         1       0.664944        3.51344        201.629        11.9191        9.52938        10.4452       -1804.72     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0606_163_0_2.3e+11_7.04002e+09_9.77754e+27_160.dat
         2       0.580843        3.48687        205.497        20.4813        12.1573        15.6016       -2476.07     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0612_163_0_2.3e+11_7.2975e+09_7.90621e+27_160.dat
         3       0.655378        3.67981        194.706        14.7234        10.1382        11.9938       -2039.77     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0618_163_0_2.3e+11_7.38361e+09_5.93743e+27_160.dat
         4       0.825657        4.13298        197.748        36.8272         13.934        23.6428       -3519.89     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0624_163_0_2.3e+11_7.51174e+09_5.86921e+27_160.dat
         5        0.80609        4.37001        199.612        34.5334        13.4555        22.3868       -3441.12     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0630_163_0_2.3e+11_6.78219e+09_3.56004e+27_160.dat
         6        1.10485         4.0926        189.252        50.3777        14.7063        29.9189       -4324.75     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0636_163_0_2.3e+11_7.19297e+09_8.51353e+27_160.dat
         7        1.10585        4.03902        198.025        34.8666        11.4236        21.3999        -3196.4     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0642_163_0_2.3e+11_7.98885e+09_1.34084e+28_160.dat
         8       0.983431        3.98693         177.81        19.6096        11.4292        14.8204       -2400.22     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0648_163_0_2.3e+11_7.44754e+09_9.43072e+27_160.dat
         9       0.866178         3.6454        183.686        22.5642        11.2289        15.9837       -2512.72     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0654_163_0_2.3e+11_7.96487e+09_1.28043e+28_160.dat
        10        1.33147        3.98083        190.665         25.703        11.8888        17.7051       -2811.05     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0660_163_0_2.3e+11_7.52959e+09_1.25363e+28_160.dat
        11       0.887236        3.78567        175.818        28.1688        12.8256        19.2903       -2913.79     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0666_163_0_2.3e+11_7.1059e+09_1.13835e+28_160.dat
        12       0.919781        3.94368        174.387        32.2157        14.1063         21.749       -3236.21     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0672_163_0_2.3e+11_7.55582e+09_9.66571e+27_160.dat
        13       0.866174        3.44732        199.276        33.9416        14.5528        22.7421       -3357.79     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0678_163_0_2.3e+11_7.75823e+09_1.24207e+28_160.dat
        14        1.62354        3.98754        194.324        20.4172        14.1603        16.6885        -2665.2     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0684_163_0_2.3e+11_7.80529e+09_1.24059e+28_160.dat
        15        1.48648        4.24759         202.34        19.7382        15.9367        17.3841       -2743.08     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0690_163_0_2.3e+11_8.37812e+09_1.51006e+28_160.dat
        16        1.65988        4.39951        203.402        15.0975        24.7063        20.2617       -3126.25     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0696_163_0_2.3e+11_8.23236e+09_1.59424e+28_160.dat
        17        1.69338        4.41899        184.933         25.503        21.2636        22.8355       -3408.15     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0702_163_0_2.3e+11_7.53177e+09_1.20877e+28_160.dat
        18        1.20718        4.29687        175.718        28.5548         13.049        19.5812       -3009.66     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0708_163_0_2.3e+11_6.87223e+09_7.43452e+27_160.dat
        19       0.937722        4.06188        152.703        23.3815        16.5176        19.2792       -2973.37     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0714_163_0_2.3e+11_7.06491e+09_7.39368e+27_160.dat
        20       0.522909        3.59839        178.597        26.6492        11.6898        18.0026       -2678.26     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0720_163_0_2.3e+11_7.99245e+09_8.31679e+27_160.dat
        21        1.21348        3.93522         196.99        23.7373        15.5105        18.8724       -2993.23     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0726_163_0_2.3e+11_7.33766e+09_8.1023e+27_160.dat
        22        1.20102        4.14243        178.236        22.7068        15.5722        18.4621          -2864     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0732_163_0_2.3e+11_6.47239e+09_7.2237e+27_160.dat
        23        1.55215        3.90403        160.841        27.3779        14.3945        19.8221       -3107.68     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0738_163_0_2.3e+11_7.26794e+09_8.54213e+27_160.dat
        24        0.58647        3.81543        191.337        34.5857        12.3658         21.803       -3156.85     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0744_163_0_2.3e+11_7.80868e+09_6.61815e+27_160.dat
        25        1.77756        4.62975        191.554        24.6641        11.9851        17.3105       -2764.63     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0750_163_0_2.3e+11_7.33203e+09_6.26779e+27_160.dat
        26         1.0791        3.63964        192.513        30.0757        9.33283        18.1695       -2806.31     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0756_163_0_2.3e+11_7.59881e+09_9.02715e+27_160.dat
        27        1.10653        4.14272        201.426        25.2263        13.1191        18.1841        -3047.4     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0762_163_0_2.3e+11_6.53151e+09_6.79185e+27_160.dat
        28        1.34059        3.77591        199.208        29.8012        22.2893        25.2607       -3773.01     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0768_163_0_2.3e+11_9.0226e+09_1.69964e+28_160.dat
        29       0.590036        3.63358        190.049        28.5821        8.79571        17.2262          -2602     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0774_163_0_2.3e+11_7.65957e+09_8.06055e+27_160.dat
        30       0.848195        3.92861        183.957        29.6751        10.6728        18.7423       -2853.41     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_03/image_a+0.94_0780_163_0_2.3e+11_7.39029e+09_7.32744e+27_160.dat
