   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0         1.0736        3.93831        139.032        4.06657        14.8329        10.0083       -1818.63     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1000_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         1        1.04117        4.55677        171.017        16.2325        14.9363        15.3149       -2490.91     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1010_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         2       0.699612        3.63038        178.722        3.19393        9.58848        6.71355       -1364.33     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1020_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         3        1.01489        3.72989        187.364         2.2739        25.3594        15.0924       -2494.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1030_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         4       0.468485        3.97705        186.936        5.06645         6.2661        5.67271       -1150.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1040_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         5       0.728323        3.67407         152.85        6.67746        8.02165        7.34466       -1460.06     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1050_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         6        1.55976        4.65979        166.456        6.28396        13.3044        10.1145       -2004.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1060_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         7        1.26535        4.36259        201.651        10.4316        20.0736        15.6707       -2585.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1070_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         8       0.555609        4.14482        194.645        9.04179        8.94197        8.87687       -1560.93     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1080_17_0_230.e9_6.2e9_7.44534e+24_20.dat
         9       0.521002        4.19247         166.94        12.5577        7.33042        9.49704       -1635.71     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1090_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        10       0.438145        4.16146        177.307        6.79905        7.08995        6.87868       -1278.95     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1100_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        11       0.520734        4.31835        138.564        7.54181        5.43053        6.27575       -1213.47     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1110_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        12       0.544214        4.22936        151.289        2.11883         3.1101         2.6448       -802.158     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1120_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        13       0.709718        3.81456        140.418        3.77369          5.017        4.41988       -1036.19     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1130_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        14       0.438156        4.05055        127.708        2.42534        7.10068         4.9976       -1041.16     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1140_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        15       0.562159        4.09608        183.959        6.41307        5.89484        6.04713       -1204.26     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1150_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        16       0.579768         3.8115         188.12        12.2414        7.34383        9.36805       -1642.27     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1160_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        17       0.484542        4.01265         190.02        6.32727        8.89318        7.67854        -1420.3     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1170_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        18       0.537535        3.92231        132.663        6.68429        14.5937        11.0046       -1890.13     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1180_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        19       0.413535        4.12198        115.123        4.68938        7.88093         6.4086       -1173.78     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1190_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        20       0.483642        4.27547        130.601        4.72115        6.27097        5.52644       -1068.58     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1200_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        21       0.752066        4.17101        217.347        8.71183        7.08149        7.69924       -1461.11     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1210_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        22        0.66091        3.93197        178.622        2.97711        4.83878        3.97702        -1020.3     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1220_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        23       0.708146        3.70147        173.525        1.87913        7.16837        4.79961       -1095.99     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1230_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        24       0.729369        4.31227        226.923        3.59866        4.29264         3.9413       -1002.59     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1240_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        25       0.946351        3.71153        214.982        5.05984        38.9418        23.8523       -3571.98     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1250_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        26       0.909734        3.54416        110.647        9.02916        9.50353         9.1839       -1674.41     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1260_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        27       0.593345        3.72041        199.028        6.17778        6.29621        6.16895       -1173.58     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1270_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        28       0.609581        4.18829        157.825        16.8238        13.7757        14.9242       -2288.18     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1280_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        29       0.534931        4.39458        126.112        1.52087        3.30805        2.49695       -713.006     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1290_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        30       0.587825        3.98434        170.662        4.38268        5.04011        4.69549       -1091.06     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1300_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        31       0.933287         4.2128        196.627        2.85413        14.0989        9.07676       -1741.03     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1310_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        32       0.563064        4.00157        168.802        7.98895        6.90381        7.28848       -1409.16     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1320_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        33        0.93485        3.84962        200.456        11.9507        9.81987        10.6204       -1872.41     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1330_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        34       0.559731         4.0481        197.437        8.03306         9.5574        8.78411       -1485.49     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1340_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        35       0.624299        4.14179        193.819        4.50473        5.78748        5.16403       -1117.78     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1350_17_0_230.e9_6.2e9_7.44534e+24_20.dat
        36       0.591205        3.90008        202.275        6.32167        6.81468        6.51953       -1307.87     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1360_17_0_230.e9_6.2e9_7.44534e+24_20.dat
