   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.488358        3.02683       -231.044        5.13625        12.5101         9.1773       -1528.15     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1000_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         1       0.662211        2.82603       -254.814        17.8287        63.3674        42.9531       -6432.75     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1008_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         2        1.03734         4.0477        60.8461        11.9947        56.5989        36.6697        -5700.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1016_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         3       0.889608        3.22499        8.79263        6.82604        6.97806        6.82806       -1391.58     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1024_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         4       0.757929        3.21042       -35.3976        13.3426         12.592        12.7635       -2255.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1032_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         5       0.497221        3.53388       -72.8107        4.83829        33.9954        21.0043       -3046.66     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1040_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         6       0.837134        3.48983       -10.6571        11.0381        32.7232        22.9713       -3557.75     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1048_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         7       0.609293        3.22129       -84.2709        9.48146        71.2556        43.7411       -6272.26     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1056_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         8       0.787865        3.72715        35.3258        5.97912        22.4689        15.0825        -2341.4     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1064_163_0_230.e9_6.2e9_3.21661e+25_80.dat
         9       0.954804         3.7713         20.445        6.98729         33.282        21.5345       -3194.83     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/image_a-0.5_1072_163_0_230.e9_6.2e9_3.21661e+25_80.dat
