   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.630151        3.25937       -245.382         4.7726        5.69486        5.22806       -1049.83     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1000_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         1       0.574185          3.193       -324.617        9.19026        58.8399        36.7067        -5079.1     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1010_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         2       0.378679          3.324       -320.818        8.48411        10.4519        9.47647       -1550.89     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1020_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         3       0.471601        3.36679       -253.417         7.1871        4.88997        5.82191        -1126.7     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1030_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         4       0.653189        3.41338       -263.543        4.89041         23.099        14.9634       -2354.94     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1040_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         5       0.851013        3.06991       -301.325        2.47178        6.72111        4.80642       -1166.55     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1050_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         6       0.480209        3.24286        -242.37        2.69721        3.72894        3.23869       -802.587     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1060_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         7       0.675459        3.08094       -273.516        2.02897        11.1282        7.06769        -1376.1     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1070_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         8       0.586732        3.08469       -239.626        2.37883        5.86864        4.29196       -1024.47     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1080_17_0_230.e9_6.2e9_3.24544e+25_160.dat
         9       0.620738        3.02124       -207.692        3.96311        7.75058        6.02272       -1224.45     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1090_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        10       0.628659        2.91468       -257.115        3.07684        6.10374        4.72394       -1058.99     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1100_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        11        0.55027        3.08112       -270.712        9.23336        25.7029        18.2862       -2690.59     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1110_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        12       0.836107        3.65042        -269.28        6.28859        16.2148         11.736       -2094.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1120_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        13       0.890172        3.68263       -241.177        6.70197        20.1981        14.1309       -2322.52     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1130_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        14       0.699777        2.92556       -223.271         8.7438        5.60435        6.89107       -1346.35     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1140_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        15       0.882278        2.76494       -200.574         6.7932          13.69        10.5488       -2561.46     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1150_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        16       0.929684        3.43801       -157.373        8.43432        11.5488        10.0653       -1744.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1160_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        17        1.04031        3.55336        -130.46        3.85449        23.6939        14.8475       -2499.63     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1170_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        18        1.04249        3.34249       -217.081        11.8532        46.3752        30.9196       -4413.26     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1180_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        19       0.757694        5.77997       -38.4006        57.3634        116.833        89.7617       -14582.1     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1190_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        20         0.9986        3.52098        7.74951        15.5449        15.5039        15.3341       -2615.35     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1200_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        21        1.51298        2.98191        42.6214        10.3705        15.1441        12.9013       -2411.13     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1210_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        22        1.25644        3.01881        88.0975        4.25926        12.7639        8.94013       -1849.53     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1220_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        23       0.696378        3.78196        47.3486        9.14511        8.31213        8.57097       -1618.94     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1230_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        24       0.497414        3.65604        73.7272        2.53259        3.56673         3.0774       -812.817     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1240_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        25       0.417672        3.43235        106.321        3.80073        10.1399        7.28219       -1345.89     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1250_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        26       0.733032        3.00802        144.051        7.68378        16.9116        12.7257       -2256.27     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1260_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        27       0.571486        3.55274        204.085        12.9085        20.3163        16.8744       -2592.55     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1270_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        28       0.687141        3.25034        131.786         10.512         15.847        13.3535       -2176.33     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1280_17_0_230.e9_6.2e9_3.24544e+25_160.dat
        29       0.773196        3.18667        149.627        12.3777        22.8196        18.0384       -2677.59     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_160/image_a0_1290_17_0_230.e9_6.2e9_3.24544e+25_160.dat
