   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.467357        3.50988       -252.912        5.58409        6.64178        6.10509       -1164.89     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_900_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         1       0.520404        3.76635       -264.244        6.30112        7.98377        7.16121       -1316.86     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_901_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         2       0.559911        3.66058        -262.56        4.20509        7.52735         6.0029       -1218.39     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_902_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         3       0.342399        3.51983       -273.662        1.77736        5.01798        3.55911       -822.731     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_903_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         4       0.359667        3.42398        -275.52        1.58735        3.87224        2.83958        -758.73     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_904_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         5       0.306039        3.29574       -278.509        3.59016        4.94407        4.30012       -930.233     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_905_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         6       0.414188          3.265       -269.438        2.80276        9.80914        6.66757        -1295.9     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_906_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         7       0.496993        3.21249       -186.825        8.14975        6.44375        7.10186        -1394.9     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_907_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         8       0.575166        3.15812       -185.045        9.77463        6.36339         7.7582       -1530.06     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_908_17_0_230.e9_6.2e9_2.61534e+29_160.dat
         9       0.583521        3.07403       -175.964        11.2143        6.47094        8.43919       -1616.67     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_909_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        10       0.736644        3.18181        -170.84        13.7241        7.28122        9.97292        -1878.1     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_910_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        11       0.731423        3.30057       -167.399        16.0143        11.7944        13.4724        -2326.5     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_911_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        12       0.791109        3.32191       -166.313        16.8256        11.0474        13.4068          -2318     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_912_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        13       0.738748        3.24192       -166.685        20.6608        8.19886        13.4764       -2348.99     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_913_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        14       0.445124        3.75733       -279.563          4.109         30.276          18.62       -2702.29     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_914_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        15       0.602853        2.97071       -172.406        13.0195        12.2344        12.4251       -2121.31     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_915_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        16       0.379323        3.54016       -271.497        2.20906        18.6578        11.3352       -1796.89     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_916_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        17       0.385181        3.42731       -264.166        3.13774        17.1825         10.915       -1754.33     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_917_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        18        0.58847        3.12645       -165.664        11.4742        8.16383        9.49332       -1750.71     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_918_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        19       0.407886        3.38992       -258.605        5.90252        19.7061        13.5122       -2104.98     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_919_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        20        0.40826         3.1979        -209.98        15.3969        11.3605        12.9646       -2039.46     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_920_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        21       0.439638        3.09693       -188.449        11.5561        13.1996        12.3309       -2043.79     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_921_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        22       0.374425        3.75767       -277.817        4.50415         29.277        18.2346       -2653.84     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_922_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        23       0.408158        3.75888       -264.062        3.22192        28.7952        17.4132       -2556.61     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_923_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        24       0.399463        3.58735       -268.904        2.65535        18.2541        11.3032       -1813.91     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_924_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        25       0.418102        3.64506       -264.324        2.01089        23.8306        14.1282       -2163.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_925_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        26       0.287828        3.24413       -200.051        9.67196        8.87507        9.11153        -1517.2     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_926_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        27       0.423973        3.50003       -248.267        6.35694        9.51687        8.03839       -1429.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_927_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        28       0.344073        3.15529       -188.734        9.98213        7.72346        8.60454       -1486.16     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_928_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        29       0.508052        3.24635       -184.618        5.34481        4.94116        5.05554       -1128.36     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_929_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        30       0.743826        3.28481       -175.993        6.75772        5.03585        5.71783       -1301.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_930_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        31       0.395041        3.57254       -249.208        2.34863        9.01256        6.02837       -1129.73     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_931_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        32       0.443125        3.28457       -214.328        6.31642        4.84516        5.42132       -1095.96     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_932_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        33       0.463508        3.02139       -244.808        5.90814        7.89224        6.94073       -1304.72     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_933_17_0_230.e9_6.2e9_2.61534e+29_160.dat
        34       0.499068        3.04374       -230.339        9.34082        5.36741        7.01681       -1326.19     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.5_300x192x192_KORAL/m_1_1_160/image_a+0.5_934_17_0_230.e9_6.2e9_2.61534e+29_160.dat
