   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.665612        2.95866          135.1        2.99358        15.0613         9.6725       -1628.09     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1000_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         1       0.469659        2.69775        111.464        5.61491        7.38168        6.53011       -1218.17     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1006_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         2       0.551572        3.08316         60.948        3.58725        24.8486        15.3747       -2346.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1012_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         3       0.540257         2.8297        126.666        4.65329        96.9113        55.9341       -7925.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1018_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         4        0.57925        3.11842        186.956        5.30454        18.9389        12.8272       -2106.92     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1024_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         5       0.835632        2.98455        103.214        4.91142        38.5996        23.5978       -3528.19     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1030_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         6       0.693963         2.9746        80.4124        8.78854         38.659        25.3037       -3707.94     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1036_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         7         0.8184        2.84284        197.053        6.78403        39.7078        25.0224       -4037.38     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1042_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         8       0.482648        2.96471        168.438        5.01638        15.7928        10.9523       -1813.56     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1048_163_0_230.e9_6.2e9_9.05276e+28_10.dat
         9       0.947301        3.15942        163.289        4.86907        31.9626        19.8864       -3071.87     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1054_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        10       0.456028        2.91785        157.391        8.84955        26.2881        18.4462       -2779.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1060_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        11       0.944182        3.06571        163.176        6.11955        32.7878        20.8851       -3254.83     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1066_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        12       0.680823        3.18604        181.258        7.47264         22.565        15.7804       -2522.94     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1072_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        13       0.469685         2.9331        124.439        7.76846        29.2049        19.6028       -2927.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1078_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        14       0.830964         3.2843        156.806        13.2738         43.038        29.6756       -4524.47     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1084_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        15       0.755899        3.11505        118.121        8.33587        90.3039        53.8463       -7652.03     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1090_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        16       0.599719        3.02198        93.9644        7.27142        48.6929        30.2325       -4305.35     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1096_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        17       0.596281        2.83685        114.217        3.34106         22.419        13.9166       -2232.65     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1102_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        18       0.629797        2.98529         121.83         5.7709          22.91        15.2382       -2374.09     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1108_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        19       0.691373        3.00808        98.1689        5.69456        63.7047        37.9055       -5480.86     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1114_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        20       0.591431        3.26157        9.75941        5.25652         37.293        23.0197        -3376.3     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1120_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        21       0.727904        3.18669       -124.315        3.41202        35.6805        21.3266       -3328.21     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1126_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        22       0.729463        3.24867       -141.848        1.94824        10.4873        6.67626       -1386.15     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1132_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        23       0.567604         3.0864        -147.42        1.78674        11.5818        7.21558       -1396.34     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1138_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        24       0.572274        3.05092       -187.145        4.56451        13.8572        9.68022       -1712.72     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1144_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        25       0.543133        2.90125       -248.353         3.8698        14.6022        9.79507       -1690.53     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1150_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        26       0.504999        2.96776       -258.607        2.72112        8.23251        5.75502       -1154.41     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1156_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        27       0.523834        3.27173       -196.297        7.45514         34.499        22.4136       -3277.15     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1162_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        28        0.42122         3.2486       -207.699        4.71645        14.1585        9.91343       -1639.99     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1168_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        29       0.727079        2.98478       -166.323        6.00821        8.61819        7.38786       -1510.37     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1174_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        30       0.542842        3.14404       -257.674        5.29654        17.7784         12.178       -1937.49     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1180_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        31       0.529511        2.95197       -56.9882        5.54045        54.5612        32.7511       -4673.94     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1186_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        32        0.47442        3.18067        197.695        1.68916        5.30019        3.67809        -918.94     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1192_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        33       0.583995        3.23479        198.988        5.22077        13.1231        9.55487        -1718.9     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1198_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        34       0.514418        3.18269         164.13        7.98954        11.9463        10.0946       -1722.87     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1204_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        35       0.380146        3.00814        165.875         2.8126         5.1421        4.07483       -901.767     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1210_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        36       0.655519        3.27034        82.5554        7.70125        19.1992        14.0062       -2238.36     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1216_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        37        1.12387        3.93887        -53.662        18.7709        86.7473        56.3694       -7609.64     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1222_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        38        0.77379        3.24791        24.6655        6.72756        36.7584        23.3569       -3480.83     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1228_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        39       0.567114        3.07282        123.327        9.11609        55.5053        34.8192       -4929.55     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1234_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        40       0.534661        3.17658        109.125        5.86312         35.112        22.0678       -3221.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1240_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        41       0.512549        2.96882        82.7146        16.7859         104.47        65.3751       -9150.79     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1246_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        42       0.629745        3.25395        163.267        3.34294        17.2706        11.0525       -1862.65     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1252_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        43       0.476075        3.07522        148.226        1.32814        6.31606        4.08761       -919.643     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1258_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        44       0.466712        2.85688        31.8699        8.43045        58.0042        35.9138       -5072.61     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1264_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        45       0.485956        3.23875       -137.838         3.4033        6.51505        5.09367       -1102.72     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1270_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        46       0.599742        2.76366       -209.664        7.31791        11.4866        9.54905        -1707.6     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1276_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        47       0.852899        2.71793       -213.099        9.06622        19.0238        14.4975       -2442.21     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1282_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        48       0.562337        3.24182       -287.543        4.71294        20.6574        13.5282       -2101.13     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1288_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        49       0.554935        2.82808       -291.575        10.3549        12.9225        11.6584       -1973.05     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1294_163_0_230.e9_6.2e9_9.05276e+28_10.dat
        50       0.570745         2.9652       -18.5031        4.70215        24.2497        15.5225       -2449.89     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_10/image_a-0.5_1300_163_0_230.e9_6.2e9_9.05276e+28_10.dat
