   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.46312        3.11023        67.2786        10.5638        11.9994        11.2348       -1791.78     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1000_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         1       0.712391        2.70734        152.079        10.2553        9.11932        9.49911        -1710.9     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1010_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         2        0.39278        2.98979        103.739        4.55378        9.02831        6.98855       -1262.22     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1020_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         3       0.433402        2.99306        81.6822        3.38943        8.18339        6.01603       -1155.04     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1030_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         4       0.377725        2.87663        37.7963        11.9803        31.8593        22.8971       -3275.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1040_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         5       0.443163        3.34422        39.2669        24.6395        20.7088        22.1542       -3187.98     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1050_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         6       0.499702        3.28332        144.272        4.70328        7.13327        5.99856       -1226.01     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1060_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         7       0.398219        3.26609        73.7142        4.73779         8.6955        6.88275       -1247.78     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1070_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         8       0.447349        2.91556        105.965        2.94439        15.9844        10.1649       -1726.14     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1080_17_0_230.e9_6.2e9_6.59579e+29_160.dat
         9       0.466783        3.37426        65.7824        2.74629        4.63272        3.76278       -915.665     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1090_17_0_230.e9_6.2e9_6.59579e+29_160.dat
