   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.439504        4.09234       -257.209        5.53879        9.09098        7.44841        -1300.3     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1007_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         1        0.51282        3.75595       -178.373        9.93484        8.21415        8.85718       -1547.07     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1017_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         2       0.622028        4.06948       -190.144        14.6061        5.02276        9.09676       -1626.68     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1027_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         3       0.430808        3.97204       -188.794        5.69463         4.8812        5.17311       -1067.96     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1037_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         4        0.40533        4.10439       -199.079         8.1969        4.57699        6.08344       -1145.55     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1047_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         5       0.527509        3.73282       -176.363        2.98016        11.9137        7.91519       -1468.12     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1057_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         6       0.424782        4.15015       -256.131        1.93037        5.65479        3.97948       -891.679     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1067_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         7       0.471455        4.01186       -176.354        6.80262        5.84303        6.18636          -1203     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1077_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         8       0.412355        3.95987       -195.464        10.4281         5.4548        7.53454       -1362.52     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1087_17_0_230.e9_6.2e9_2.00213e+42_1.dat
         9       0.425872        4.13726       -175.265        6.24824        5.07535           5.52       -1127.93     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1097_17_0_230.e9_6.2e9_2.00213e+42_1.dat
        10       0.421011        4.13065       -154.556         5.1582        8.05227        6.70621       -1274.03     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_H10_KORAL/m_1_1_1/image_H10_a+0.94_1107_17_0_230.e9_6.2e9_2.00213e+42_1.dat
