   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.498267        4.21159       -171.527        3.60788        4.89851        4.28241       -1000.38     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1004_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         1       0.445931        4.25458       -176.131        10.1337        4.83497        7.06263       -1282.38     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1014_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         2       0.654767        4.02288       -176.706        3.54806        5.74611        4.72825       -1143.64     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1024_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         3       0.484926         4.2655       -183.922        5.75217        4.61999        5.05258       -1054.81     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1034_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         4       0.483905        3.68697       -192.343        11.1558        7.79989        9.15344       -1606.23     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1044_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         5       0.526929        4.54754       -246.853        2.97045        3.72044        3.35185       -884.924     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1054_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         6       0.511023        4.24164         -187.2        3.16004        3.95968        3.56678       -925.999     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1064_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         7       0.639299        4.00559       -174.541        6.11516        6.52036        6.26666        -1290.1     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1074_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         8       0.554753         4.2161       -170.184        2.07788        7.40793        5.01866       -1130.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1084_17_0_230.e9_6.2e9_4.90941e+42_20.dat
         9        0.41201        4.04962       -215.647        5.31828        4.80406        4.96781       -1035.57     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1094_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        10       0.636445        4.34895       -191.013         5.8515        5.35916        5.50675       -1199.01     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1104_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        11       0.504716        3.91092       -198.346        5.00153        6.68413        5.87731       -1220.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1114_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        12       0.491286        4.13292       -238.013        3.28833        4.90972        4.15078       -981.803     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1124_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        13       0.457814        3.92751       -210.208        3.53001        7.49301        5.69253       -1151.05     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1134_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        14       0.663637        3.49543       -234.579        7.41948        13.0559        10.4661       -1792.64     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1144_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        15       0.453225        4.11649       -195.181         1.9445        4.73967        3.47636       -872.971     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1154_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        16       0.570741         3.8902       -198.877        5.66239        7.06147        6.37241        -1282.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1164_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        17       0.533036        3.86534        -177.56        4.05019         8.0469        6.22517       -1263.43     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1174_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        18       0.468351        4.13398       -235.218         6.9684        6.08049        6.39002       -1180.65     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1184_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        19       0.765363        4.17371       -211.319        2.11337        4.53487        3.43525       -959.125     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1194_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        20       0.530615        4.06568       -241.321        2.90418        3.63276        3.27447       -826.244     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1204_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        21       0.482566        3.76514       -219.549        3.14452        7.10543        5.31054       -1138.08     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1214_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        22       0.673635         4.2526        -166.17        10.1812        9.23882        9.53366       -1699.49     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1224_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        23       0.544012         4.1638       -171.842        7.31437        6.21683        6.61516       -1309.59     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1234_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        24       0.657597        4.06334       -239.763        4.71654        7.68569        6.31167       -1298.83     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1244_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        25       0.473598        3.77745       -188.119        13.0666        8.33988        10.2783       -1723.19     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1254_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        26       0.481248        3.83664       -181.505        4.45501        7.95373        6.34799        -1245.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1264_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        27       0.534594        4.09799       -186.493        8.42906        5.63609        6.77294       -1316.03     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1274_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        28       0.532016        4.05044       -242.647        6.27783        12.0057        9.38918       -1687.07     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1284_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        29        0.56665        3.90756       -231.206        7.32231         4.7749        5.81622       -1247.98     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1294_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        30       0.530081        4.12936       -246.819        3.07419        3.48423        3.26517       -864.155     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1304_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        31       0.431764        4.08589       -186.541        4.68312        5.20261        4.91554       -1055.94     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1314_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        32       0.440598         3.9964       -213.107         4.8545        4.35077        4.51548        -954.85     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1324_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        33       0.571056        3.93102       -178.798        6.12194        4.23371        4.99717       -1054.16     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1334_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        34       0.714938        4.22494       -218.655        5.52625        13.3592        9.81806       -1740.41     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1344_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        35        0.67922        4.15358       -187.752        11.3769        9.50883        10.1998       -1800.44     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1354_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        36       0.492575         4.1132       -214.195        4.31601        7.30629        5.92775       -1177.06     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1364_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        37       0.454284        4.17252       -214.744        2.82375        3.52793        3.18144       -814.851     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1374_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        38       0.465829        3.89129       -226.985        6.45469        6.72316          6.526       -1207.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1384_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        39       0.542626        4.59102       -240.119        3.21672        10.6183        7.29644        -1309.4     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1394_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        40       0.436751        4.37927       -258.903        5.36151        8.42448        7.00105       -1239.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1404_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        41       0.430054        4.08415       -264.322        3.17354        4.07834        3.63863       -839.361     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1414_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        42       0.875964        4.28142       -178.347        8.26296        6.23676        7.03552       -1460.72     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1424_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        43       0.680207        3.79012       -175.856        13.0132        13.3327        13.0336       -2163.91     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1434_17_0_230.e9_6.2e9_4.90941e+42_20.dat
        44       0.554296        4.36736       -206.092        5.55348        4.68969        5.00564       -1103.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_R17_a+0.94_1444_17_0_230.e9_6.2e9_4.90941e+42_20.dat
