   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.584895        4.28413         204.68        16.4011        10.8317        13.1036       -2124.23     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_900_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         1       0.519244        4.02738        191.598        13.7899        10.5646        11.8284       -1972.57     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_901_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         2       0.416434        4.00002        175.463        14.9011        9.11488        11.5011       -1884.96     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_902_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         3       0.708584        4.09595         176.91         10.501        8.60999         9.3217        -1767.7     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_903_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         4       0.413234        4.31442        101.574        4.15866        11.9073         8.4201       -1463.54     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_904_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         5       0.460851        3.99807         191.95        14.6313        9.96878        11.8599       -1959.71     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_905_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         6       0.497666          4.176         160.82        23.1856        8.26642        14.6033       -2276.24     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_906_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         7       0.875269        4.34224        170.011        23.1035        8.77967        14.8535       -2408.07     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_907_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         8       0.739668        4.43887         191.99         25.214        10.1201        16.5099       -2579.93     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_908_17_0_230.e9_6.2e9_5.42106e+27_10.dat
         9        0.62463        4.61249        203.702        22.1863        8.74186        14.4367       -2281.27     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_909_17_0_230.e9_6.2e9_5.42106e+27_10.dat
