   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.720671        3.69545        166.136        10.9515        26.0597         19.226       -3089.25     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1000_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         1       0.613888        4.45684        194.344        32.5418        14.9661        22.3681       -3272.26     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1010_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         2        1.50823        4.94341         192.27        16.1577        37.3312        27.7443       -4409.41     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1020_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         3       0.675871        4.44912        183.551        18.9396        11.6922        14.6777        -2289.7     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1030_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         4        1.03809        4.67397        187.972        25.5038        11.7299        17.5308        -2773.5     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1040_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         5       0.700292        4.18521        189.926        34.1406        23.3851        27.7427       -3967.02     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1050_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         6       0.820267        4.79821        191.463        23.5228        15.5313        18.7913        -2892.3     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1060_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         7       0.877978        4.84382         189.98        42.4365        12.1375        25.0632       -3724.27     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1070_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         8       0.901837        4.56539        190.478        23.5273        10.7236        16.1181       -2654.49     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1080_148_0_230.e9_6.2e9_5.78385e+24_10.dat
         9        1.01679        4.70901        185.544        28.1162        10.0762        17.7377       -2859.74     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1090_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        10       0.679472        4.61969        183.006        23.9793         10.108        15.9705        -2517.2     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1100_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        11       0.805688        4.68572         178.43        13.3478        9.12766         10.838       -1938.64     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1110_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        12       0.453691        4.16935        168.413        9.86774        6.42937        7.83509       -1424.74     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1120_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        13       0.835777         4.3016        168.909        18.9821        7.48871         12.357       -2154.62     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1130_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        14       0.826922        4.41281        179.411        10.1207        7.99568         8.8158       -1697.99     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1140_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        15       0.795254        4.53924        186.955        22.3568        8.78062        14.5319       -2381.15     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1150_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        16       0.909044        4.96631        184.433        20.6771        10.6936        14.8716       -2393.77     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1160_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        17       0.780378        4.33128        174.777        29.7352        8.59797        17.6137       -2713.17     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1170_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        18       0.499653        4.24885         171.27        11.7382        10.5361        10.9273       -1813.52     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1180_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        19       0.512912        4.33939        183.347        11.6066        7.07423        8.94416       -1586.33     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1190_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        20       0.607037        4.27342         169.45        17.5747        8.77099        12.4633       -2013.58     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1200_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        21       0.723686        4.49807        171.366        22.5631        9.20059        14.8546       -2364.71     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1210_148_0_230.e9_6.2e9_5.78385e+24_10.dat
        22       0.450544         4.0361        158.525        10.3249         7.7235        8.75245        -1540.3     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_1220_148_0_230.e9_6.2e9_5.78385e+24_10.dat
