   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.456312        4.32658        78.4214        6.62785        18.5039        13.1561       -2013.22     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1000.163_0_230.e9_6.2e9_4.4e+26_10.dat
         1       0.473599        4.26538        197.591        8.52616        8.95705        8.66279       -1543.35     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1001.163_0_230.e9_6.2e9_4.4e+26_10.dat
         2       0.465286        4.28938        185.404        16.6424         9.0765         12.231       -1982.44     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1002.163_0_230.e9_6.2e9_4.4e+26_10.dat
         3       0.472063        4.28197        171.984        16.8621        10.3469        13.0327       -2076.95     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1003.163_0_230.e9_6.2e9_4.4e+26_10.dat
         4       0.437194        4.05303        90.7511         7.1919         13.617        10.6801       -1711.33     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1004.163_0_230.e9_6.2e9_4.4e+26_10.dat
         5       0.578825        4.18004        183.874        17.9885        9.05443        12.7995       -2136.55     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1005.163_0_230.e9_6.2e9_4.4e+26_10.dat
         6       0.461869        4.67918         184.81        14.9036         6.7702        10.1975       -1692.17     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1006.163_0_230.e9_6.2e9_4.4e+26_10.dat
         7       0.553536        4.24923        206.046        13.4315        10.5127        11.6448       -1988.87     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1007.163_0_230.e9_6.2e9_4.4e+26_10.dat
         8       0.607757        4.35213        195.112        23.6755        8.21552        14.7864       -2379.63     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1008.163_0_230.e9_6.2e9_4.4e+26_10.dat
         9       0.613355        4.29162         190.31        34.5125        9.05551        19.9294       -3003.65     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1009.163_0_230.e9_6.2e9_4.4e+26_10.dat
        10       0.494557        4.55138        195.064        22.6363        8.47935        14.4848       -2256.66     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1010.163_0_230.e9_6.2e9_4.4e+26_10.dat
        11        0.45055        4.53725        183.842        20.3681        9.20529        13.9102       -2151.54     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1011.163_0_230.e9_6.2e9_4.4e+26_10.dat
        12       0.483126        4.27311         192.85        17.0504        9.01026        12.3702       -2027.58     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1012.163_0_230.e9_6.2e9_4.4e+26_10.dat
        13       0.624837        4.34845        200.201        22.6688          8.761        14.6556       -2374.64     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1013.163_0_230.e9_6.2e9_4.4e+26_10.dat
        14       0.688053        4.95953        193.376        25.2358        10.9543        16.9836        -2742.8     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1014.163_0_230.e9_6.2e9_4.4e+26_10.dat
        15       0.607322        4.49397        175.398        22.4396        10.2463        15.3832       -2423.46     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1015.163_0_230.e9_6.2e9_4.4e+26_10.dat
        16       0.512692        4.43924        177.141        16.9649        8.51479        12.0576       -1941.81     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1016.163_0_230.e9_6.2e9_4.4e+26_10.dat
        17        0.68161        4.22955        199.118        19.6522        7.77541        12.8056       -2154.41     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1017.163_0_230.e9_6.2e9_4.4e+26_10.dat
        18       0.691944        4.57408        187.217        21.5655        8.40417         13.981       -2308.77     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1018.163_0_230.e9_6.2e9_4.4e+26_10.dat
        19        0.54136        4.49268        181.263        15.1641        7.45841        10.6928       -1830.41     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1019.163_0_230.e9_6.2e9_4.4e+26_10.dat
        20       0.489703        4.20931        198.024        15.1627        8.44453         11.241       -1890.22     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1020.163_0_230.e9_6.2e9_4.4e+26_10.dat
        21       0.635623        4.54184        201.964        25.4174        8.69959        15.8073       -2497.83     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1021.163_0_230.e9_6.2e9_4.4e+26_10.dat
        22       0.654587        4.63806        189.246        26.7682        9.66182        16.9255       -2664.43     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1022.163_0_230.e9_6.2e9_4.4e+26_10.dat
        23       0.505084        4.40781        181.451         26.088        8.44767        15.9564       -2465.62     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1023.163_0_230.e9_6.2e9_4.4e+26_10.dat
        24       0.417841        4.33602        181.406        13.9709        6.96979        9.90614       -1672.15     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1024.163_0_230.e9_6.2e9_4.4e+26_10.dat
        25       0.467742        4.29185        178.041        18.3699        6.81274        11.7167       -1906.84     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1025.163_0_230.e9_6.2e9_4.4e+26_10.dat
        26       0.533752        4.37888        196.485        17.0993        7.19838        11.3831       -1934.72     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1026.163_0_230.e9_6.2e9_4.4e+26_10.dat
        27        0.61075        4.39891        204.849        23.8067        8.56157        15.0355       -2414.67     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1027.163_0_230.e9_6.2e9_4.4e+26_10.dat
        28       0.576479        4.60551        195.836        27.4424        10.6048        17.7411       -2760.26     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1028.163_0_230.e9_6.2e9_4.4e+26_10.dat
        29       0.534293        4.52833        185.084        24.0398        12.0401        17.0718       -2635.55     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1029.163_0_230.e9_6.2e9_4.4e+26_10.dat
        30       0.484606         4.5527        185.816        24.0427         9.0038        15.3834       -2418.94     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1030.163_0_230.e9_6.2e9_4.4e+26_10.dat
        31       0.481993        4.48134        188.797        20.0233        8.88149        13.5812       -2181.52     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1031.163_0_230.e9_6.2e9_4.4e+26_10.dat
        32       0.622683        4.58849        198.698         27.692         9.2319        17.0849       -2684.45     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1032.163_0_230.e9_6.2e9_4.4e+26_10.dat
        33       0.754604        4.73731        193.999        35.3923        12.1745        22.0446       -3319.37     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1033.163_0_230.e9_6.2e9_4.4e+26_10.dat
        34       0.687886        4.43141        193.972        20.9094        9.88456        14.5217        -2405.5     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1034.163_0_230.e9_6.2e9_4.4e+26_10.dat
        35       0.669192        4.52003        203.645        32.0088        10.9436        19.8998       -3069.17     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1035.163_0_230.e9_6.2e9_4.4e+26_10.dat
        36       0.718813        4.68747        206.928        32.7223        10.6586        20.0491       -3085.11     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1036.163_0_230.e9_6.2e9_4.4e+26_10.dat
        37       0.700707        4.90272        189.314         43.848        17.2076        28.4935       -4233.44     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1037.163_0_230.e9_6.2e9_4.4e+26_10.dat
        38       0.710099        4.35726        179.983        20.4529        8.63144        13.6274       -2265.77     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1038.163_0_230.e9_6.2e9_4.4e+26_10.dat
        39          0.556        4.38658        187.718        22.1873        8.42219        14.2593       -2266.81     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1039.163_0_230.e9_6.2e9_4.4e+26_10.dat
        40       0.564019        4.47163        194.612         22.056        8.31646        14.1438       -2259.71     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1040.163_0_230.e9_6.2e9_4.4e+26_10.dat
        41       0.524338        4.36867        202.757        16.7548        7.77951        11.5578       -1924.76     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1041.163_0_230.e9_6.2e9_4.4e+26_10.dat
        42       0.465031        4.27828        199.397        20.7933        8.41995        13.6566        -2168.8     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1042.163_0_230.e9_6.2e9_4.4e+26_10.dat
        43       0.508553        4.17903         198.18        21.6281        9.11517        14.4036       -2298.61     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_10/image_a+0.94.1043.163_0_230.e9_6.2e9_4.4e+26_10.dat
