   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.978911        3.32697        -223.39        7.01784        19.4892        13.8727       -2329.18     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1000_163_0_2.3e+11_7.07491e+09_1.07378e+25_10.dat
         1       0.500279        3.12885       -170.285        9.99996        12.6423        11.3493       -1875.02     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1010_163_0_2.3e+11_7.35538e+09_1.15521e+25_10.dat
         2       0.840191          4.266       -189.549        6.01079        13.3048        9.99682       -1738.14     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1020_163_0_2.3e+11_5.74047e+09_8.84385e+24_10.dat
         3       0.730954        4.28928       -175.676        5.23686        15.6024        10.9414        -1820.3     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1030_163_0_2.3e+11_5.80522e+09_9.82867e+24_10.dat
         4       0.593665        4.11146       -179.847        6.72098         10.142        8.54331       -1522.34     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1040_163_0_2.3e+11_6.22082e+09_6.31937e+24_10.dat
         5       0.747323        3.46353       -178.906        6.20065         7.7527        6.98928       -1417.31     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1050_163_0_2.3e+11_6.56484e+09_9.00566e+24_10.dat
         6       0.642797        3.86963       -173.975        5.61386        9.28848         7.5907       -1459.98     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1060_163_0_2.3e+11_6.71312e+09_9.10226e+24_10.dat
         7       0.877822        4.09307       -170.709        13.5663        9.79539        11.3039       -2013.72     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1070_163_0_2.3e+11_6.28031e+09_6.49087e+24_10.dat
         8       0.477929        3.80679       -179.342        10.6052        6.99707        8.46916       -1480.89     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1080_163_0_2.3e+11_6.7358e+09_6.5511e+24_10.dat
         9       0.506173        3.67373       -278.085        11.2143        13.0491        12.0997       -1882.91     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1090_163_0_2.3e+11_7.05428e+09_7.43873e+24_10.dat
        10       0.416146        3.49319       -234.081        12.7588        16.4364        14.6508       -2241.76     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1100_163_0_2.3e+11_7.1313e+09_6.8946e+24_10.dat
        11       0.392504        3.68423       -252.228        7.47235        8.89531        8.17377       -1390.59     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1110_163_0_2.3e+11_7.14043e+09_7.01174e+24_10.dat
        12       0.402488        3.66756       -236.167        3.26411        5.99628        4.74494       -995.426     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1120_163_0_2.3e+11_7.0153e+09_6.20141e+24_10.dat
        13        0.68799        3.67807       -211.192        5.92799        4.02293        4.79621       -1114.38     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1130_163_0_2.3e+11_6.50203e+09_7.29279e+24_10.dat
        14       0.427272        3.78914       -197.832         4.6339        5.88641         5.2748       -1088.61     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1140_163_0_2.3e+11_6.81104e+09_5.56745e+24_10.dat
        15       0.654323        3.76222       -181.434        6.68406        8.82088        7.79224       -1514.39     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1150_163_0_2.3e+11_6.78846e+09_5.64079e+24_10.dat
        16       0.561726        4.25234       -189.317        8.64441          6.201         7.1802       -1319.97     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1160_163_0_2.3e+11_6.44094e+09_6.02199e+24_10.dat
        17       0.501342        3.82902       -202.097        8.79945        4.82921        6.48376       -1237.09     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1170_163_0_2.3e+11_6.29585e+09_5.78841e+24_10.dat
        18       0.630801        3.63686       -218.713        5.78665        7.01686        6.40121       -1341.46     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1180_163_0_2.3e+11_6.48998e+09_4.50359e+24_10.dat
        19        0.40892        3.86652       -188.007        3.36927        6.07368        4.83339       -1007.32     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1190_163_0_2.3e+11_6.93538e+09_4.44359e+24_10.dat
        20       0.448845        3.94059       -208.937        6.49296        4.14506        5.10792       -1021.32     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1200_163_0_2.3e+11_6.84151e+09_5.13495e+24_10.dat
        21       0.501665        3.98304       -200.178        8.48492        5.63508        6.79648       -1288.06     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1210_163_0_2.3e+11_6.65205e+09_5.64273e+24_10.dat
        22       0.412088        3.80708       -220.669        6.26985        5.72439        5.89048       -1136.99     /gpfs/hpu/EHT2/supplementary/scaling/MAD_a+0.94_384x192x192_IHARM/data_07/image_a+0.94_1220_163_0_2.3e+11_6.34572e+09_4.93939e+24_10.dat
