   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.519658        3.63288        133.797        13.2302        18.9285         16.241        -2472.9     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0600_163_0_2.3e+11_6.55111e+09_8.83204e+27_160.dat
         1       0.649277        3.41174        201.404        10.5223        10.1696        10.1988        -1756.1     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0606_163_0_2.3e+11_7.04002e+09_1.29557e+28_160.dat
         2       0.606007        3.34447        205.942        14.4014        11.5225        12.6252       -2097.15     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0612_163_0_2.3e+11_7.2975e+09_1.0475e+28_160.dat
         3       0.600891        3.58353        194.619        12.7525        9.94579        11.0364       -1895.02     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0618_163_0_2.3e+11_7.38361e+09_7.80647e+27_160.dat
         4       0.795239        3.92539        198.566        30.9932        11.6775          19.87       -3020.82     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0624_163_0_2.3e+11_7.51174e+09_7.9493e+27_160.dat
         5       0.811277        4.18063        200.741        29.2237        11.4703        18.9913       -2996.17     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0630_163_0_2.3e+11_6.78219e+09_4.69882e+27_160.dat
         6       0.766671        3.71363        186.391        37.3016        12.5639        23.0851        -3360.3     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0636_163_0_2.3e+11_7.19297e+09_1.17685e+28_160.dat
         7        1.25892        4.03047        198.118        35.7535        11.9453        22.0729       -3281.52     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0642_163_0_2.3e+11_7.98885e+09_1.78341e+28_160.dat
         8       0.995379        3.86703        175.496        19.4355        10.6885        14.3331       -2301.46     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0648_163_0_2.3e+11_7.44754e+09_1.24203e+28_160.dat
         9       0.702799        3.50544        179.308        22.1852        10.0739        15.1775       -2356.08     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0654_163_0_2.3e+11_7.96487e+09_1.69208e+28_160.dat
        10        1.00398        3.72015        187.707        20.7971        12.5931        15.9804       -2512.33     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0660_163_0_2.3e+11_7.52959e+09_1.67658e+28_160.dat
        11       0.741312        3.60663        175.617         24.999        11.2679        17.0559       -2593.78     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0666_163_0_2.3e+11_7.1059e+09_1.53771e+28_160.dat
        12        0.79517        3.65509        174.796        30.1195        12.2433        19.8079       -2956.31     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0672_163_0_2.3e+11_7.55582e+09_1.27916e+28_160.dat
        13        1.38702        3.66541         136.06        23.0135        20.1476        21.1404       -3215.35     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0678_163_0_2.3e+11_7.75823e+09_1.63609e+28_160.dat
        14        1.76789        3.84524        194.722        35.4157         16.001         24.184       -3600.47     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0684_163_0_2.3e+11_7.80529e+09_1.65253e+28_160.dat
        15        1.93398        4.13129        209.375        19.1093        18.1263        18.3312       -2904.85     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0690_163_0_2.3e+11_8.37812e+09_2.07241e+28_160.dat
        16        1.78101        4.07575        208.336         13.372        24.8143        19.5773       -3019.37     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0696_163_0_2.3e+11_8.23236e+09_2.17972e+28_160.dat
        17        1.47404        4.04046        187.479        31.1278        12.7278        20.5125       -3065.36     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0702_163_0_2.3e+11_7.53177e+09_1.64707e+28_160.dat
        18        1.05214        4.15461        174.233        24.3735        9.81104        15.9753       -2499.04     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0708_163_0_2.3e+11_6.87223e+09_1.02272e+28_160.dat
        19       0.991539         4.0393         152.46        23.0159        14.4483        17.9701       -2787.21     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0714_163_0_2.3e+11_7.06491e+09_9.64082e+27_160.dat
        20       0.539983        3.50434        179.884        26.1203         10.913        17.3422       -2594.23     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0720_163_0_2.3e+11_7.99245e+09_1.08963e+28_160.dat
        21        1.28148        3.85244        193.924        20.6069        18.2111        19.0245       -2964.03     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0726_163_0_2.3e+11_7.33766e+09_1.07123e+28_160.dat
        22        1.03723        4.02081        175.452        20.0489        16.4666         17.813       -2758.02     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0732_163_0_2.3e+11_6.47239e+09_9.70466e+27_160.dat
        23        1.61992        3.75952        162.283        28.2138        14.1279        20.0344       -3130.48     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0738_163_0_2.3e+11_7.26794e+09_1.13778e+28_160.dat
        24       0.638475        3.78473        164.931        29.9889         16.442        22.0879       -3184.79     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0744_163_0_2.3e+11_7.80868e+09_8.67075e+27_160.dat
        25       0.831634        3.95808        163.744        27.8787        12.3311          18.89       -2833.13     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0750_163_0_2.3e+11_7.33203e+09_8.57064e+27_160.dat
        26       0.812789        3.43137        187.354        31.4077        8.96055         18.537       -2790.02     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0756_163_0_2.3e+11_7.59881e+09_1.19622e+28_160.dat
        27       0.972264        3.64155        185.119        14.5351        24.3368        19.8134       -3037.25     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0762_163_0_2.3e+11_6.53151e+09_9.25475e+27_160.dat
        28        1.29589        3.59555        200.308        20.3302        19.5492        19.6497        -3061.2     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0768_163_0_2.3e+11_9.0226e+09_2.30032e+28_160.dat
        29       0.645296        3.59667        188.501        27.9711        8.22851         16.647       -2518.54     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0774_163_0_2.3e+11_7.65957e+09_1.0535e+28_160.dat
        30       0.837356        3.84564        182.059        30.3068        9.61306        18.4251       -2780.95     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0780_163_0_2.3e+11_7.39029e+09_9.59394e+27_160.dat
        31        1.56451        3.94239        174.495         25.425        13.3002        18.3706       -2871.35     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0786_163_0_2.3e+11_7.32506e+09_1.22494e+28_160.dat
        32        1.90222        4.78712        159.055        15.4406        20.6642        18.1605          -2884     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0792_163_0_2.3e+11_7.99349e+09_1.7744e+28_160.dat
        33        1.59563        4.65602        163.053        10.0259        14.0517        12.1448       -2021.94     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0798_163_0_2.3e+11_7.74459e+09_2.01051e+28_160.dat
        34        1.24095        3.71353        190.426        24.6154        12.0221        17.3101       -2712.27     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0804_163_0_2.3e+11_7.84845e+09_1.92559e+28_160.dat
        35         1.2927        3.56014        140.978        15.5697        20.7752        18.2779       -2939.53     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0810_163_0_2.3e+11_7.0394e+09_1.38197e+28_160.dat
        36       0.909251        3.86998        195.299        26.8039        9.81876        17.0282       -2641.84     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0816_163_0_2.3e+11_6.86909e+09_1.22955e+28_160.dat
        37        1.04123        3.83252         188.35        14.9675        7.89029        10.8483       -1889.96     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0822_163_0_2.3e+11_7.00056e+09_1.50117e+28_160.dat
        38       0.793924        3.65194        198.564        38.9105         16.578        26.0128       -3709.21     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0828_163_0_2.3e+11_7.05479e+09_1.56362e+28_160.dat
        39       0.838429        3.72377        186.177        32.3071        8.54025        18.6912       -2801.83     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0834_163_0_2.3e+11_7.07948e+09_1.67393e+28_160.dat
        40        0.91274        3.15236        191.042        18.2897        9.18652         13.003       -2108.69     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0840_163_0_2.3e+11_8.39322e+09_2.15191e+28_160.dat
        41        1.00923        3.48059        184.182        15.3172        10.0421        12.1966       -2067.64     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0846_163_0_2.3e+11_7.67713e+09_1.9663e+28_160.dat
        42         1.1636        3.37115        181.413        23.6725        11.5195        16.6236       -2641.55     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0852_163_0_2.3e+11_7.15162e+09_1.838e+28_160.dat
        43       0.951642        3.44349        177.499        16.4826        10.4637         12.934       -2156.88     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0858_163_0_2.3e+11_6.81294e+09_1.55094e+28_160.dat
        44        1.21399         4.1409        207.562        21.3293         12.759        16.3023       -2589.05     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0864_163_0_2.3e+11_6.86281e+09_1.59404e+28_160.dat
        45        1.11235        3.92064        193.548        30.8489        8.99658         18.316       -2826.03     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0870_163_0_2.3e+11_7.10297e+09_1.52017e+28_160.dat
        46        1.29023        4.21503        194.137        17.5729         10.386        13.3611       -2237.01     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0876_163_0_2.3e+11_6.80885e+09_1.5519e+28_160.dat
        47       0.781042        3.64437        188.763        17.5144        9.84741        13.0362       -2119.68     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0882_163_0_2.3e+11_6.8493e+09_1.41938e+28_160.dat
        48       0.764006         3.5757        188.438        20.9375        8.37442        13.6935       -2178.37     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0888_163_0_2.3e+11_7.00121e+09_1.54871e+28_160.dat
        49       0.764926        3.77145         206.18        20.3735         10.264        14.5016        -2286.7     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0894_163_0_2.3e+11_6.50242e+09_1.5429e+28_160.dat
        50        1.11993        2.91239        193.635         24.233        10.7696        16.4481       -2602.16     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0900_163_0_2.3e+11_9.82862e+09_3.62018e+28_160.dat
        51        1.20551        3.28746        178.474        13.5536        9.48578        11.1261       -1985.41     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0906_163_0_2.3e+11_7.18956e+09_1.94038e+28_160.dat
        52       0.934271        3.47843        179.991         17.646        10.5231         13.469       -2249.14     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0912_163_0_2.3e+11_6.68819e+09_1.7398e+28_160.dat
        53        1.01255        3.41599        178.443        20.3148        12.3757        15.6513       -2519.29     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a+0.94_288x128x128_IHARM/data_02/image_a+0.94_0918_163_0_2.3e+11_6.61435e+09_1.71834e+28_160.dat
