   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.374158        3.73586         79.846        5.53805        6.87164        6.21313       -1146.44     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1000_163_0_2.3e+11_4.98554e+09_3.53883e+29_80.dat
         1       0.389123        3.64749        60.2739        5.43281        16.1389        11.3245       -1786.68     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1010_163_0_2.3e+11_4.91863e+09_4.16908e+29_80.dat
         2       0.404644        3.43942        155.902        4.70409        7.94594        6.45112        -1267.4     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1020_163_0_2.3e+11_5.28734e+09_3.92873e+29_80.dat
         3       0.409198        3.54545        128.991         5.7866        8.52639        7.24116       -1355.72     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1030_163_0_2.3e+11_5.30018e+09_4.21492e+29_80.dat
         4       0.600637        3.57839        114.013         8.2708        38.9431        25.2384        -3761.2     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1040_163_0_2.3e+11_4.99014e+09_5.26065e+29_80.dat
         5       0.427554        3.74542        155.954        3.91999        5.51996        4.76288       -1058.99     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1050_163_0_2.3e+11_4.9471e+09_4.02414e+29_80.dat
         6       0.527996        3.76797        134.791        9.47181        4.20208        6.42488       -1264.68     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1060_163_0_2.3e+11_4.89069e+09_4.44937e+29_80.dat
         7       0.593947        3.93254        150.381        2.56431        9.62645        6.46303       -1254.48     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1070_163_0_2.3e+11_4.89797e+09_4.56411e+29_80.dat
         8       0.509674        3.56844        153.053        6.73226         4.6177        5.47417       -1140.76     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1080_163_0_2.3e+11_4.99529e+09_3.94679e+29_80.dat
         9       0.481338        3.73909        132.199        1.23559        4.00943        2.76415       -766.107     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1090_163_0_2.3e+11_4.95505e+09_4.08046e+29_80.dat
        10       0.499956        3.62736         96.185        4.44871        23.6089        15.0566       -2342.78     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1100_163_0_2.3e+11_5.00303e+09_4.48308e+29_80.dat
        11       0.371248        3.65596        93.8895        6.84625         7.8159          7.303       -1283.12     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1110_163_0_2.3e+11_5.04397e+09_4.02054e+29_80.dat
        12        0.45297        3.61422        119.911        3.63349        4.67463        4.16888       -924.829     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1120_163_0_2.3e+11_5.12919e+09_4.49972e+29_80.dat
        13       0.458938        3.54624        131.969        5.94669         9.3117        7.74722       -1388.26     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1130_163_0_2.3e+11_5.05059e+09_4.28221e+29_80.dat
        14       0.484291        3.72508        158.457        2.67388        6.63201        4.84405       -1070.22     /gpfs/hpu/EHT2/supplementary/scaling/SANE_a0_288x128x128_IHARM/data_01/image_a0_1140_163_0_2.3e+11_5.12667e+09_4.4465e+29_80.dat
