   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.848865        5.17845        -355.16        14.3255        27.8641        21.7156       -3251.85     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0000_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         1        1.32956         5.9095        -323.94        39.6548        28.4132        32.8924       -4968.89     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0001_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         2       0.869149        4.09878       -302.196        5.99575        44.7813        27.5926       -4266.15     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0002_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         3       0.938387        4.05219         -322.2        44.9535        26.8235        34.2782       -4776.61     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0003_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         4       0.745244        4.01882       -89.2432        7.36637        10.4205        8.98324       -1593.36     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0004_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         5       0.500605        3.76422       -21.6901          7.802        11.8099        9.94645       -1700.12     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0005_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         6       0.583338        3.51052       -27.4686        6.90246        11.3989        9.33083       -1645.84     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0006_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         7       0.553386        3.38103       -51.2364        4.08773        2.90578        3.37772       -827.205     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0007_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         8         0.7449        3.72031       -140.468        11.3616        21.1697        16.7034       -2510.19     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0008_22_0_230.e9_6.2e9_4.47548e+25_160.dat
         9       0.507775        3.89987       -140.559        5.61675        14.0028        10.2339       -1630.54     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0009_22_0_230.e9_6.2e9_4.47548e+25_160.dat
        10       0.628747        3.72306       -65.3493        16.3183        13.2395           14.4       -2230.98     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0010_22_0_230.e9_6.2e9_4.47548e+25_160.dat
        11       0.976586        4.05885       -42.9968        27.5134        34.9884        31.3555       -4498.31     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0011_22_0_230.e9_6.2e9_4.47548e+25_160.dat
        12       0.724925        3.71246        -55.934        3.78672        7.81173        5.98952       -1287.22     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0012_22_0_230.e9_6.2e9_4.47548e+25_160.dat
        13       0.557747        4.24503       -19.1815        3.46275        3.38532        3.37743       -832.217     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0013_22_0_230.e9_6.2e9_4.47548e+25_160.dat
        14        0.58839        3.87939        -42.114        3.41265          7.166        5.46821       -1148.09     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0014_22_0_230.e9_6.2e9_4.47548e+25_160.dat
        15       0.647363        3.78191       -60.0005        8.31789        17.2923        13.2309       -2084.54     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0015_22_0_230.e9_6.2e9_4.47548e+25_160.dat
        16       0.597316        4.02053       -113.917        4.52507        15.6129        10.6649       -1707.75     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_160/image_a-0.94_0016_22_0_230.e9_6.2e9_4.47548e+25_160.dat
