   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.505614        3.20036        58.3526        4.53692        6.15286        5.38465       -1104.16     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1000_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         1       0.575963        3.22353        74.5603        4.47916        15.3908        10.5211       -1783.55     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1006_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         2       0.654232         3.0437       -31.3083        8.15732        38.8555        25.2095       -3621.03     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1012_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         3       0.460954        3.11266        33.0722        5.19698        18.6973        12.6765       -1998.17     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1018_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         4       0.512997         3.3053        24.6347        7.40878        13.6562        10.8092       -1773.25     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1024_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         5       0.873546        3.76774        21.9352        6.59349        15.0968        11.2643       -1900.65     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1030_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         6        0.76874        3.40765        46.0752        7.19399         43.019        27.1222       -4046.09     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1036_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         7        0.72623        3.33152        57.9603        7.87393        26.5114        18.1911        -2795.7     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1042_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         8       0.605328        3.20028        74.0172        14.3363        24.1719        19.6574       -3018.72     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1048_22_0_230.e9_6.2e9_1.45979e+29_80.dat
         9       0.385552        3.17968        101.326        11.5434        23.5393        18.1054       -2678.56     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1054_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        10       0.734801        3.01513        96.2434         7.8922        55.7978        34.5614       -4855.38     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1060_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        11       0.694964        3.15836       -9.92074        4.10571         32.021        19.6523       -2961.39     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1066_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        12       0.672445        2.92914        -38.966        5.39117         28.614        18.3004       -2847.01     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1072_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        13        0.74927        2.91741       -25.4048        5.08983        29.6741        18.7634       -2889.17     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1078_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        14       0.622857        3.11178        19.3938        3.28592         22.336        13.8894       -2234.94     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1084_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        15       0.636791        3.35571       0.356134         9.4891        57.3317        36.1037        -5558.1     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1090_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        16       0.547194        3.31128        6.56027         9.0587        32.3558        21.9649       -3167.88     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1096_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        17       0.491462        2.90689         108.83        14.7652        63.3167        41.7118       -6019.79     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1102_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        18       0.655051        2.91286       -37.0118        9.24664        115.668        68.5922       -9738.04     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1108_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        19        0.54479        3.26507        53.9227        7.44486        35.2549         22.892       -3295.44     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1114_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        20       0.675902        3.56455        34.1268        6.43637        46.7532        28.8834       -4765.49     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1120_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        21       0.605917        3.25563        63.1198        2.84836        13.9268        9.00335       -1593.76     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1126_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        22       0.397234        3.33683        24.4354        8.83491        11.1431        10.0172       -1608.76     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1132_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        23       0.524775         3.2934       -293.857        7.83832        16.0092        12.3082       -1922.88     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1138_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        24        1.32254        3.75129        -300.58        7.52065        31.6915        20.9336        -3347.5     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1144_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        25        1.02897        3.00443       -359.959        6.24814        44.9421        27.7907       -4598.15     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1150_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        26       0.551857        3.11741       -251.251        8.27927        25.6451        17.8811       -2716.37     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1156_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        27       0.693885        2.97261       -138.305        6.49118        27.2963        18.0362       -2840.62     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1162_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        28       0.569839        3.09432       -230.435        8.64168        38.8782          25.43       -3682.87     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1168_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        29        0.80837        3.17131       -204.522        6.69511        40.8595        25.7016       -3741.21     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1174_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        30       0.742761        3.22917        175.257        13.1103        94.9893        58.6972       -9500.71     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1180_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        31       0.962108        3.38405        47.5949        7.58438        60.2215        36.9009       -5339.45     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1186_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        32       0.747902        3.24467       -17.3105        8.19511        26.6678        18.4164       -2970.73     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1192_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        33       0.564901        3.19058       -18.7935        6.99013         19.419        13.8493       -2214.42     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1198_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        34        0.50591        2.83648       -29.8914        10.1299        38.4669        25.8389       -3649.82     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1204_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        35       0.649423        3.19905       -44.1983        10.2904        28.8705        20.5462       -2994.52     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1210_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        36       0.559507        3.28745       -25.1033        5.62303        11.3576        8.75869       -1531.16     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1216_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        37       0.566901        3.40814      -0.543102        3.66057        9.92169        7.11423       -1326.92     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1222_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        38       0.555181        3.36542       -15.4393        4.78219        13.4062        9.54241       -1615.76     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1228_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        39       0.872058        3.23569       -17.3246        8.00807        27.7275        18.9282       -2927.86     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1234_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        40       0.664948        3.10464       -16.4966        4.45112         30.371        18.8786       -2879.03     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1240_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        41       0.676484        2.95899       -11.1123        7.60689        20.8565        14.9171       -2385.21     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1246_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        42       0.559148        3.23481        21.7949        6.19863         22.664        15.3226        -2371.9     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1252_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        43       0.849379        3.13599        12.3226        5.98889        35.2195        22.2474       -3524.02     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1258_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        44       0.516275        3.03129       -28.6746         7.9535        23.0279         16.279       -2488.64     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1264_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        45       0.662938        3.16645       -25.7003        4.07603        20.1138        12.9869       -2114.14     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1270_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        46       0.678591        3.35339       -9.55964        8.04204        29.8838        20.1475       -3034.65     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1276_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        47       0.970165        3.74266        17.4077        7.94383        38.6115        24.9815       -3656.18     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1282_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        48        0.73785        3.52092        42.1855        13.2842        31.1606        23.1105       -3441.97     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1288_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        49       0.640497        3.17935       -39.1978        3.62123        16.4113        10.7231       -1861.43     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1294_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        50       0.488207        3.36325       -38.1143        4.24119        12.5339        8.82287       -1483.09     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1300_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        51       0.505655        3.16956       -56.8923        5.13476        7.56691        6.43125       -1223.67     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1306_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        52        0.61195        3.49855        -13.828        4.02904         7.0841        5.68698       -1164.66     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1312_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        53       0.663531        3.41512       -9.42804        5.99825        26.7369        17.5122       -2717.09     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1318_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        54       0.494511        3.05067        109.242        7.55004        32.2237        21.2436       -3142.63     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1324_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        55       0.587079        3.01959        126.354        4.69525        8.87688        6.97452       -1437.87     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1330_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        56        0.73191          3.255        208.777        13.3898        41.3014        28.8215       -4108.06     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1336_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        57       0.635441        3.04739        248.535        18.3512        51.6476        36.7312        -5217.1     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1342_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        58       0.775693        3.42854        359.947        6.99211        39.7851        25.2288       -3739.33     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1348_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        59       0.685328        3.48886        359.987         6.8544        45.4757        28.3491       -4148.27     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1354_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        60       0.815842        3.21704        295.735        6.41732        46.3627         28.657       -4321.44     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1360_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        61       0.625217        2.95195        294.004        10.6597        55.8169        35.7597          -5002     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1366_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        62       0.480032        3.27816        359.986        4.58274        13.3075        9.40167       -1636.93     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1372_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        63       0.598996        3.28221        359.992        11.4401        31.7164        22.6296       -3360.36     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1378_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        64       0.501612        3.31024        305.121        7.55879        12.8652        10.4317       -1705.55     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1384_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        65       0.565139        3.13236        308.152        6.34327         21.155        14.5416       -2315.15     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1390_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        66        0.53462        3.21293        325.948        3.71157        14.7996         9.8614       -1652.76     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1396_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        67       0.566344        3.09287        306.642        9.16951        14.2852        11.9163       -1917.06     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1402_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        68       0.541293        3.29958        334.778        7.20408        25.6873        17.4432       -2639.18     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1408_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        69       0.635347         3.3191        285.396        13.9851        67.3627        43.6375       -6395.31     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1414_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        70       0.577928        3.17572        279.341        6.96586        130.425        75.8584       -10850.6     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1420_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        71       0.608791        3.34753        337.682        5.05265        102.179        59.2562       -8582.19     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1426_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        72       0.628227        3.43353        350.577        3.46879        22.6301        14.1322       -2232.75     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1432_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        73       0.565503        3.56973        352.811        8.60753        15.8744         12.563       -2124.39     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1438_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        74       0.461972        3.26957        359.948        3.33746        10.4584        7.27541       -1379.59     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1444_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        75       0.440997        3.11375        359.818        5.91072        34.9716        22.0754       -3242.92     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1450_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        76        0.41333        3.09589        359.998        4.85327        10.2438        7.80601       -1384.76     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1456_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        77       0.677824        3.10296        328.686        4.98601        20.7401        13.7273       -2245.57     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1462_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        78       0.536032        3.01929        327.054         11.035        40.3017        27.2524       -3924.16     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1468_22_0_230.e9_6.2e9_1.45979e+29_80.dat
        79       0.610086        3.16346        339.891        7.19438        37.9422        24.2859       -3739.95     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a-0.5_288x128x128_IHARM/m_1_1_80/image_a-0.5_1474_22_0_230.e9_6.2e9_1.45979e+29_80.dat
