   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.438683        4.24638       -96.1998        6.41284        17.4277         12.489       -1994.47     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0000_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         1       0.550782        4.12491       -114.843        7.54245         42.382        26.9158       -3801.63     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0001_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         2       0.476163        3.66875       -106.617        6.91903        19.1555        13.6715       -2136.95     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0002_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         3       0.398501        4.08536       -169.361        7.23125        9.07997        8.17631       -1441.92     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0003_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         4       0.517616        3.89789        -154.14        9.85483         5.2845        7.18167       -1340.25     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0004_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         5       0.430702        3.97472       -175.013        3.05083        12.3921        8.23278       -1517.76     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0005_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         6       0.424949        3.98073       -172.352        7.75014        5.74185        6.53397       -1267.23     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0006_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         7       0.402774         4.0707       -211.531        5.56191         3.7568        4.48583       -935.419     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0007_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         8       0.447891         4.0249       -211.663        15.4639        7.80026        10.9944       -1744.24     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0008_168_0_230.e9_6.2e9_5.68241e+24_1.dat
         9       0.507743         3.5723       -204.045        6.74882        9.44888        8.17539       -1507.87     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0009_168_0_230.e9_6.2e9_5.68241e+24_1.dat
        10       0.773809        3.57193       -219.436         8.4557        10.5127        9.50223       -1767.99     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0010_168_0_230.e9_6.2e9_5.68241e+24_1.dat
        11       0.347939        4.10644       -260.939        10.5967        10.2552        10.2772       -1647.52     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0011_168_0_230.e9_6.2e9_5.68241e+24_1.dat
        12       0.376347        4.02745       -221.578        9.26786        9.88225        9.49855       -1560.92     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0012_168_0_230.e9_6.2e9_5.68241e+24_1.dat
        13       0.362077        3.84585       -230.924        10.2509        12.7593        11.5279       -1829.94     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0013_168_0_230.e9_6.2e9_5.68241e+24_1.dat
        14       0.704061         4.1406        -306.13        18.9492        75.1301        50.1075       -7865.88     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/image_a+0.5_0014_168_0_230.e9_6.2e9_5.68241e+24_1.dat
