   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.738735        2.78466        218.713        18.0085        12.5538         14.569       -859.878     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_0.dat
         1        1.04573        2.04156       -36.7813        17.9923        37.9323        27.9189       -1587.46     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_10.dat
         2       0.620547        1.94119       -41.9954        10.6446        32.4578        21.7891       -1305.51     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_11.dat
         3       0.778346        2.47842       -126.299        11.5443        8.19687        9.41794       -575.307     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_12.dat
         4       0.644043        2.43906       -122.006        16.4032        11.9523        13.5426       -762.612     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_13.dat
         5       0.511966        2.35596        -110.31         28.096        12.9263        19.2247        -1033.1     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_14.dat
         6       0.825333        2.59469       -138.145        18.7777        21.6636        19.7036       -1077.86     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_15.dat
         7        0.69212        2.61265       -134.171          20.48        20.0288        19.5958       -1063.67     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_16.dat
         8       0.584544        2.64923       -121.822        16.4102        27.2247        21.5838        -1148.8     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_17.dat
         9        0.58472        2.36069       -64.2999        17.2126        13.9448        14.9492       -857.096     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_18.dat
        10       0.677819         2.4152       -56.7677        27.2391        17.5635        21.2865       -1178.44     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_19.dat
        11       0.974837         2.7845       -135.823        20.3309        10.3812        14.4522       -864.171     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_1.dat
        12       0.643743         2.3884        -54.732        28.0485        17.4468        21.5829       -1193.27     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_20.dat
        13       0.800818        2.47109       -95.8982        22.5266        21.7376           21.4       -1195.03     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_21.dat
        14        1.55858        5.65936       -96.8651        16.9589        41.8168        29.5065       -1549.86     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_22.dat
        15       0.867837          2.197       -66.9961        19.1722        40.3238        29.6992        -1615.9     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_23.dat
        16        1.49593        6.24005       -91.8122        28.2743        52.8666        40.3247       -2060.76     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_24.dat
        17        1.45494        5.74345       -82.4241        15.1319        51.2893        33.6843       -1758.27     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_25.dat
        18        1.50489         5.5644       -75.5009        9.87074        39.9268         25.378       -1358.69     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_26.dat
        19        1.42223        4.05996       -102.564        23.6028        56.5726          40.21       -2068.86     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_27.dat
        20         1.1741        3.11662       -134.686         14.532        153.177        87.0441       -4522.61     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_28.dat
        21        2.18629        6.19952       -76.5312        8.01452        121.838        67.6686       -3496.53     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_29.dat
        22       0.947596        2.74718       -128.495        21.7602        9.08022        14.3993       -858.829     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_2.dat
        23       0.467212        2.79123       -253.812          22.59         180.99        105.245       -5575.55     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_30.dat
        24        1.60048        3.02406       -254.818        16.9326        90.3547        55.0411       -2963.35     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_31.dat
