   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.553434         3.2952        319.116        3.78108        13.5252        8.79015       -560.703     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1200_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         1       0.471131         3.2882        309.707        3.83086        14.9796        9.57766       -585.932     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1206_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         2       0.454134         3.0812        328.414        5.97372          15.51        10.8042       -649.971     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1212_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         3       0.558832        3.17324        298.622        15.3848        10.0552        12.0939        -722.44     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1218_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         4       0.564842        3.25804        330.525        4.09099        13.8003        9.07194       -606.176     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1224_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         5       0.711478        3.29575        312.417        7.81998        39.9254        24.4706        -1626.8     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1230_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         6        1.83377        4.96134         354.88         63.517        37.4891        47.8124       -2439.44     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1236_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         7        0.44863        3.25507        307.691        4.47516        7.01779        5.67207       -441.759     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1242_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         8       0.674422        3.73714        294.178        4.51157        10.3177        7.42495       -519.414     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1248_17_0_230.e9_6.2e9_9.71287e+28_40.dat
         9       0.486997        3.44517        331.069        7.50318        8.65677        7.87339       -633.118     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1254_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        10       0.471922        3.34016        358.848        9.45684        11.1423        10.0453       -689.594     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1260_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        11       0.656605        3.30639        303.538        13.1085        14.9222        13.6492       -814.839     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1266_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        12       0.515597        3.45273        330.031        3.11398         5.8824        4.47271       -338.902     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1272_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        13       0.420146         3.1751        329.029        6.94194        18.6823        12.9018       -774.106     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1278_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        14       0.516956         3.1124        311.271        11.3836        14.4142        12.6192       -763.916     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1284_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        15       0.664106        3.38027        284.916        6.70745        16.8399        11.8285       -758.502     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1290_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        16       0.540667        3.39823        284.259        16.6399        19.1076        17.4132       -965.348     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1296_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        17       0.526786        3.28855         339.37        9.04114        15.1269        11.9587       -690.154     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1302_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        18       0.472556        3.46433        302.369        5.51034          14.91        10.2835       -614.269     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1308_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        19       0.570577        3.74007        306.665        2.67785        6.73605        4.72918       -359.119     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1314_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        20       0.581876        3.83916        328.305        5.65867        7.32647        6.35777        -440.29     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1320_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        21       0.455022        3.16102        266.742        5.67758        14.8451        10.3233       -663.796     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1326_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        22        0.60546        3.46724        359.851        4.47706        9.06123         6.7484       -471.707     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1332_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        23       0.410216        3.49358        301.897        5.98596        16.8303        11.5045       -684.439     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1338_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        24       0.615801        3.55222         329.74        1.91388        6.30934        4.16684       -365.433     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1344_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        25       0.464985        3.26444        333.212         12.146        21.1902        16.5225       -1079.81     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1350_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        26       0.374527        3.09356        344.175        14.2309        27.1951        20.6048       -1200.63     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1356_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        27       0.561564        3.41461        275.077        3.55769        19.1418        11.6475       -733.544     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1362_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        28       0.507434        3.21205        332.694        5.76191        9.21228        7.39594       -510.353     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1368_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        29       0.690203         3.6511        270.031        7.86933        10.7087        9.11522       -608.123     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1374_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        30       0.509625        3.23342         331.62        5.56098        12.6768        9.13052        -569.06     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1380_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        31       0.485466        3.66173        248.069        5.78911        14.1813        10.0233       -591.901     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1386_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        32       0.828356        3.58069        315.554         21.164        18.9439        19.3272       -1116.76     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1392_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        33       0.603881        3.23442        298.839        4.56071        13.7601        9.25846       -614.536     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1398_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        34       0.617498        3.29139        318.679         12.117        7.30616        9.20232       -581.266     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1404_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        35       0.545755        3.45751        193.817         8.4505        13.6643        10.9277       -708.044     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1410_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        36       0.476593         3.7271        231.314        2.67766        11.1401        7.04703       -468.526     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1416_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        37       0.487158        3.39468        343.602        2.73659        10.9185        6.95642       -494.154     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1422_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        38        0.42285        3.39736        301.954        20.8253        13.8442        16.4934       -904.639     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1428_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        39       0.524802        3.08766        359.951        29.6855        20.8238         24.084       -1306.37     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1434_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        40       0.457521        3.46747         301.04         3.9777        14.9937        9.64999       -586.502     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1440_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        41       0.561222        3.28851        342.448        23.6398        22.3349        22.2065       -1227.36     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1446_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        42       0.423491        3.53439        332.015         6.1538        10.7918        8.40052       -515.018     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1452_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        43        0.71188        3.53546        323.985        11.0027         11.014        10.6612       -631.456     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1458_17_0_230.e9_6.2e9_9.71287e+28_40.dat
        44       0.641044        3.35987        342.243        12.5279        28.7127        20.6506       -1166.97     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1464_17_0_230.e9_6.2e9_9.71287e+28_40.dat
