   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.637665        3.62053        128.928        9.17697        36.8871        23.4715       -1360.67     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0000_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         1       0.442146        3.77862         91.989        12.4412        35.7794        24.3316       -1286.36     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0001_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         2       0.737057        4.17223        187.174        6.94132         8.8643        7.73421       -511.614     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0002_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         3       0.707467        3.90025        169.183        4.00228        7.87285        5.91303       -428.853     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0003_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         4       0.514678        3.98666        164.485        3.66148         8.6306        6.16118       -413.877     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0004_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         5       0.616388        3.80457        108.062        12.0532        14.5681        12.9962        -750.35     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0005_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         6       0.577627        4.09422        188.892        3.57485        5.93977        4.70666       -372.702     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0006_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         7       0.584761        3.94997        185.499        7.93638        12.4944        10.0847       -609.088     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0007_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         8        0.44236        4.03036        168.825        9.33866         12.447        10.6797        -628.62     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0008_168_0_230.e9_6.2e9_6.16354e+24_10.dat
         9       0.465801        4.12421        96.0159        7.67865        11.2281        9.30432       -556.581     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0009_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        10       0.472923        4.13736        110.137        10.4582        14.5731        12.2937       -714.316     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0010_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        11       0.479797        4.15881        52.8569         3.7549        8.57775        6.17467       -424.836     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0011_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        12       0.508665        3.96691         135.05        11.3227        31.4319        21.5489       -1269.68     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0012_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        13       0.483628        3.76148        141.678        5.56466        12.6881        9.13813       -578.743     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0013_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        14       0.466113        4.08292          155.6        4.42687         9.5581        6.98772       -461.903     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0014_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        15       0.416777        4.07323        89.5396         6.9596        17.5486         12.313       -706.686     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0015_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        16       0.517135        3.94767        140.074        10.9167        15.6143        13.0444       -750.252     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0016_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        17       0.455651        3.69958         140.83        7.08086        11.4158        9.13878       -567.489     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0017_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        18       0.577827        4.54779        33.4781        8.16137        19.5231        13.8835       -831.743     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0018_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        19       0.434143        4.18504        156.818        2.88465        6.99448        4.95663       -355.118     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0019_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        20       0.512693        4.10699        120.232        3.41519        7.27595        5.33932        -372.81     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0020_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        21       0.509069        4.05903         147.82        7.92654        11.8249        9.72802       -597.374     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0021_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        22       0.414154        3.84082        129.144        6.16287        9.91831         7.9448       -499.868     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0022_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        23       0.561297        3.85341        146.442        5.14277        9.85284        7.45935        -525.17     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0023_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        24       0.580677        3.92832        138.022        5.10378        10.3784        7.71874       -523.346     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0024_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        25       0.689676        4.29191        -359.49        3.96022        7.43954        5.66638       -413.932     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0025_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        26       0.575755        3.62091        -265.87        4.25821        10.9316        7.63604         -485.5     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0026_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        27       0.516471        3.80147       -271.505        10.2907        10.3207        9.98153       -603.714     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0027_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        28       0.589285        3.94186       -222.691        15.7727        14.7048        14.7126       -830.438     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0028_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        29       0.578598        3.88203       -284.041        1.68195        9.14104        5.55467       -399.861     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0029_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        30        0.58415        3.66474       -187.704        4.00066         8.6863        6.34045       -443.413     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0030_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        31       0.546784        3.91993       -207.531        3.53588        15.6323        9.79075       -608.135     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0031_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        32       0.782478         4.3833       -282.715        5.81927        20.5735        13.4009       -762.486     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0032_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        33       0.543299        4.28028       -310.013        10.1091        20.1557        15.0775       -833.865     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0033_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        34       0.671388        3.72093       -219.916         3.1798        10.4119        6.88577       -462.646     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0034_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        35       0.448801        4.34047        -213.02        2.07383        6.81689        4.50469       -335.354     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0035_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        36       0.511357        4.15993       -206.086        2.29611        8.26925        5.36736       -374.283     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0036_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        37       0.465224         3.8667       -224.871        4.92561        9.97378        7.42699       -481.567     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0037_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        38       0.503214        4.08183       -199.434        4.52488        10.8917        7.73296       -498.673     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0038_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        39       0.742022        4.18255       -238.494        2.54595          9.022          5.874       -446.774     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0039_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        40       0.679958        4.24964       -207.553        7.79254        8.32157         7.8249       -520.835     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0040_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        41       0.582673        3.50449       -234.361        11.1613        15.0128         12.836       -767.961     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0041_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        42       0.571742        4.18539       -356.149        7.76119        14.6483        11.1409       -655.358     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0042_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        43       0.512841        3.95005        -196.27        12.0769        8.85526         9.9999       -649.881     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0043_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        44       0.585836        4.21297       -262.161        6.49736        6.85933        6.48269       -440.776     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0044_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        45       0.732724        3.74579       -280.873        4.91909        10.9812        7.95433       -529.252     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0045_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        46       0.706472        4.12881       -250.653        21.0998        24.4829        22.2141       -1196.36     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0046_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        47       0.615091        4.22291        -153.28        10.2706        14.0487        11.9347       -700.984     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0047_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        48       0.675118        4.29573       -179.279        9.38133         13.128         11.057       -671.597     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0048_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        49        0.69487        4.22808       -180.757         13.409        14.9737        13.8091       -808.417     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0049_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        50       0.647522        4.18373       -194.342        12.5633        11.5433        11.6297       -712.913     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0050_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        51       0.796271        4.13929       -210.727          16.17        14.2135        14.6296       -849.157     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0051_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        52       0.629837        4.86532       -207.842        24.0639        21.2506        21.8233       -1179.24     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0052_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        53        0.82626        4.49827        -256.61        7.15155        8.86983        7.83007       -598.168     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0053_168_0_230.e9_6.2e9_6.16354e+24_10.dat
        54       0.621282        4.86998       -236.091        3.61529        12.1623        7.99953       -509.581     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a+0.94_384x192x192_IHARM/m_1_1_10/image_a+0.94_0054_168_0_230.e9_6.2e9_6.16354e+24_10.dat
