   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.509385        3.01024       -94.1515        8.06507        14.1933        11.0583       -603.185     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1200_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         1       0.468966        3.18861       -43.9427        8.77552        9.31354        8.74316       -496.071     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1206_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         2       0.710679        3.34745        8.19698        12.4161        8.21944        9.70998       -623.175     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1212_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         3       0.661837        3.23801       -54.1965         7.9823        16.8948        12.4726       -770.051     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1218_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         4       0.636042        3.14381       -147.591        13.1267         24.597        18.8013       -954.805     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1224_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         5        1.03377        3.39569       -197.655        22.0822        65.0713        44.3416       -2251.08     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1230_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         6       0.604354        3.29451       -223.345        7.93651        32.4423        20.7956       -1254.27     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1236_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         7       0.974035        3.69062        1.97516        13.8241        49.1758        32.2876       -1626.83     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1242_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         8       0.682219        3.56862       -47.1805        6.96581        10.5651        8.64228       -547.225     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1248_12_0_230.e9_6.2e9_6.86034e+28_10.dat
         9       0.601461         3.2318       -49.1694        13.5615        9.66875        10.9766       -612.111     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_10/image_a-0.94_1254_12_0_230.e9_6.2e9_6.86034e+28_10.dat
