   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.639136        3.86789        70.8291         12.089         9.1653        10.0779       -540.334     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1007.dat
         1       0.545912        3.18574        131.456        29.0061        12.2378        18.9473       -913.696     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1017.dat
         2       0.708476         3.7921        64.3564        1.65007        11.6997        6.98216       -429.513     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1027.dat
         3       0.714383        3.95723        183.132        14.0176        13.8347        13.4066       -739.249     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1037.dat
         4       0.923763        3.75492        195.559        30.8856         23.755        25.9295       -1251.27     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1047.dat
         5        1.08136        3.55061        90.7882        27.8859        26.0108        25.8595       -1248.58     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1057.dat
         6       0.662964        3.82721          181.6        23.9196        15.1924        18.3616       -1011.31     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1067.dat
         7       0.898998        3.94994        203.203        31.8938        15.6053        21.9868       -1260.18     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1077.dat
         8       0.842635        3.45572         113.06        9.64435        13.9597        11.6071       -639.895     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1087.dat
         9       0.713048        3.45747        60.3745        23.2714        31.8463        27.0212       -1265.42     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1097.dat
        10       0.592611        3.10331         86.147        11.6778        29.3366         20.726       -996.217     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1107.dat
