   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.478193        3.08396        51.1704         3.0373        12.7238        8.36033       -1136.22     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1000_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         1       0.484767        3.10115        37.2778        2.72622        19.6302        12.0555       -1490.68     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1010_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         2       0.417788        3.01433        145.366        10.1457        18.4177         14.574       -1747.33     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1020_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         3       0.455235        3.25939        91.9431        6.20896        12.3444        9.51395       -1214.41     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1030_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         4        0.43696        3.11545        146.172        9.78432        60.2784        37.6264       -4034.41     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1040_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         5       0.433331        3.02774        157.661        10.5235        17.1809        14.0508       -1692.61     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1050_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         6       0.488634        3.39218        172.093        7.07482        16.4071        12.1387       -1505.76     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1060_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         7       0.558715        3.14854        145.437        2.64237        8.55753        5.88069       -899.209     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1070_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         8       0.512353        3.05937        68.0991        7.83756        25.2196        17.3524       -2015.35     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1080_163_0_230.e9_6.2e9_7.5794e+29_160.dat
         9       0.415254        2.94986        123.231        5.40938        10.2905        8.03143       -1097.82     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1090_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        10       0.447708         3.0116        91.4118        7.73699        28.6193         19.194        -2189.8     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1100_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        11        0.44418        3.04861        84.9783         9.6515        11.5791        10.5702       -1335.94     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1110_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        12       0.422216         3.0054        97.6016        9.32424        15.1424        12.4049       -1505.91     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1120_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        13       0.435036        2.97588        125.881        12.0568        17.6356        14.9623       -1777.39     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1130_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        14       0.417022        3.14745        168.771        5.35399        14.5903        10.3914       -1322.53     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1140_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        15       0.436759        3.22449        145.475        6.00142        13.5638        10.1007       -1268.48     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1150_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        16        0.43907        3.14867        113.137        5.95341        24.4127        16.0948       -1844.12     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1160_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        17       0.467535        3.04722        133.718        5.11713        13.0578        9.43995       -1233.95     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1170_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        18       0.395874        3.02734        104.458        8.20232        15.1017        11.8999       -1465.59     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1180_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        19       0.510317        3.21742        164.955        12.3908        21.2699        17.1208       -1978.47     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1190_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        20       0.402244        3.02161        149.242        3.51316        13.2335        8.84755       -1156.02     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1200_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        21       0.493685        3.34157        202.263        8.29833        17.5192        13.2814       -1615.19     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1210_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        22       0.446166        3.24232        115.201        2.92992        7.93292        5.65806       -840.593     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1220_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        23       0.452414        3.21941        95.8146        5.11422        7.15495        6.16612       -887.127     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1230_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        24       0.451353        3.03565         120.56        7.27088        11.6425        9.58148       -1261.32     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1240_163_0_230.e9_6.2e9_7.5794e+29_160.dat
        25       0.496717        3.07933        169.081        9.75824        22.0453        16.4186       -1900.12     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1250_163_0_230.e9_6.2e9_7.5794e+29_160.dat
