   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.66277        3.85847        71.7377        13.1627        7.68278        9.91999        -1284.9     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1007.dat
         1       0.556084        3.41476        141.461        19.3428        30.0855        24.9979       -2719.07     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1017.dat
         2       0.696935        3.80264        67.6104        2.05709        10.2736         6.5804       -980.116     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1027.dat
         3       0.814773        4.10325        186.434        8.41383        25.0312        17.4958       -2102.79     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1037.dat
         4       0.820359        3.84687        193.149        23.8374        45.2486        35.3373       -3777.57     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1047.dat
         5        0.74675        3.45779        81.6543        16.9197        30.8478        24.3785       -2720.52     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1057.dat
         6       0.660875        4.01215        184.838        23.2578        35.2022        29.5183       -3344.47     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1067.dat
         7         1.1078        3.99708        203.674        21.9526        28.2849         25.122       -3027.87     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1077.dat
         8       0.849579        3.43663        113.951        14.4043        15.7687        14.9368       -1826.42     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1087.dat
         9       0.749988        3.66064        52.2898        17.7171        42.6114        31.2432        -3357.2     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1097.dat
        10       0.617424        3.11677        85.5655        14.1279        25.8018        20.3804       -2299.87     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1107.dat
        11       0.626104        3.42198        54.1579        19.0496        33.5266        26.7796       -2900.85     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1117.dat
        12       0.718402        3.74866        58.5036        12.0256         16.782        14.4756       -1717.58     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1127.dat
        13       0.704928        3.95833        63.9813        11.5507        20.6364        16.4083       -1887.45     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1137.dat
        14       0.557004        3.75676        83.1238         9.6622        22.9078        16.8554       -1949.17     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1147.dat
        15       0.791377        3.43514        54.9017         21.138        45.4308        34.2775       -3656.14     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1157.dat
        16       0.701674        3.81585        201.221        4.86133        34.4529        21.1915       -2382.77     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1167.dat
        17       0.842904        3.55457        72.5081        5.95847        16.3772         11.642       -1488.46     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1177.dat
        18       0.632644        3.80018        195.215        32.5137        38.0405        35.0724       -3705.81     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1187.dat
        19       0.733077        3.66128        113.157        21.7969        40.5529        31.8565       -3444.07     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1197.dat
        20       0.585577        3.62936        66.8821        10.2892        23.8565         17.651       -2044.57     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1207.dat
        21       0.688046        3.80336        77.6367        19.3272        21.0438        19.9785       -2298.14     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1217.dat
        22       0.823687        3.86523        44.5239        18.7645        22.1714        20.3616       -2360.03     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1227.dat
        23       0.735491        3.86199        164.977        32.6973        33.8475        32.8267        -3498.4     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1237.dat
        24       0.611953        3.71028        164.877        7.63272         11.158        9.46852       -1275.43     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1247.dat
        25       0.641867        3.77263        69.5989        31.6813        33.2354        32.0504       -3437.05     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1257.dat
        26       0.635039         3.6339        104.816        23.8272        32.6394        28.3423       -3041.97     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1267.dat
        27         0.7722        3.89535        180.091        24.5482        45.9845         36.051       -4218.95     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1277.dat
        28        1.13322        4.10339        59.7741        12.3141        27.0605        20.2982       -2486.59     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1287.dat
        29       0.751716        3.43321        63.0898        23.0184        28.5176        25.7094        -2854.6     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1297.dat
        30        1.30587        4.89795        112.171        6.01798        19.4784         13.387       -1662.54     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1307.dat
        31        1.01543        4.15706        29.4843        6.11371        24.8528        16.4077       -1966.07     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1317.dat
        32       0.776066         3.7999        67.3568        8.48565        16.2307        12.6476       -1589.79     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1327.dat
        33        1.09527        3.33986        126.308        14.0734        34.6495        25.2621       -2959.47     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1337.dat
        34       0.999726        4.08098        202.292        7.97266        26.8494        18.3141       -2183.31     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1347.dat
        35       0.710128        3.34514        145.161        7.83821        15.4667        11.9456       -1472.96     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1357.dat
