   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.476436        3.58492       -267.571        14.2602        13.9335         13.843       -1584.34     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_average_GRRT_Image_0500_0600.dat
         1       0.440259        3.68362       -270.357        14.8288        14.4297        14.3615       -1625.43     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_AVERAGE_GRRT_Image_0500_1000.dat
         2       0.436873        3.62127       -296.677        8.50543        23.6749        16.9408       -1860.55     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_average_GRRT_Image_0600_0700.dat
         3       0.389454        3.72036       -271.269        13.7193        7.91595        10.2154       -1251.47     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_average_GRRT_Image_0700_0800.dat
         4        0.42078        3.72667       -286.821         9.1052        23.4842         17.084       -1880.09     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_average_GRRT_Image_0800_0900.dat
         5        0.39018        3.69488       -269.075        12.3449        14.2702        13.2319       -1522.31     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_average_GRRT_Image_0900_1000.dat
         6       0.420678        3.63709       -262.618        17.0519        9.63314        12.5807       -1528.71     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0500_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.83468E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7        0.53094         4.0015       -306.524        6.28613        15.1346         11.185       -1328.58     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0501_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.89669E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8       0.564632        4.01995        -309.55        15.5625         20.373        18.0278       -1965.38     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0502_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.85087E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.513237        3.53222       -319.231        42.9993        103.511        76.5007       -7412.66     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0503_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.80489E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        10        0.61026        4.12709        -189.05        14.1049        28.4277        21.9704       -2474.99     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0504_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.66501E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        11       0.436319        4.05921       -226.755        8.44691         7.4137         7.7252        -1006.4     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0505_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.63877E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        12       0.580913        4.04034       -242.588          10.67        47.4209        31.2683       -3228.78     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0506_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.58186E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        13       0.603586         3.2135       -183.261        23.5751        19.2009        20.7183       -2340.27     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0507_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.63469E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        14       0.563356        3.34493       -204.518        32.0999        21.2226        25.4285       -2726.94     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0508_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.71145E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        15        0.53373        4.11147       -173.754        15.4808        25.3952        20.8322       -2264.04     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0509_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.70119E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        16       0.534748        3.96239       -212.366        18.8804        27.2164        23.2842       -2507.25     /gpfs/hpu/EHT2/BHAC/SANE/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_10/IHARMformat_GRRT_IMAGE_data0510_Rlow_1.00000E+00_Rhigh_1.00000E+01_MBH_6.20000E+09_Mdot_1.65033E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
