   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.00547        2.78123        30.6614        42.0549        178.314        118.385       -11561.6     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_0.dat
         1        0.48018        2.00741       -224.389        22.8402        20.0053        20.8655        -2211.7     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_10.dat
         2       0.447852        2.00733       -215.018        18.4691        14.9274        16.1662       -1787.29     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_11.dat
         3       0.485823        2.03989       -203.352        21.5429        11.9415        15.7648       -1747.23     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_12.dat
         4       0.530079        2.05023       -196.382        22.0302        11.4093        15.6679       -1738.03     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_13.dat
         5       0.500644        2.07212       -187.995        21.3035        12.0838         15.745       -1742.47     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_14.dat
         6       0.820894        2.01184       -170.121        24.8761        13.8955        18.2641       -2040.81     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_15.dat
         7       0.571608        2.05287       -172.774        18.0702        10.6092        13.5585       -1544.87     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_16.dat
         8        0.56885        2.01482        -159.33        18.0595        10.9453         13.744       -1565.27     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_17.dat
         9       0.512213        2.00087       -153.845        14.5459        9.72056        11.5814       -1365.66     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_18.dat
        10       0.498852         1.9878       -153.261        7.69685         8.5645        8.06177        -1045.3     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_19.dat
        11       0.818701        2.04747       -286.766        29.7846        17.3871        22.2917       -2401.14     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_1.dat
        12         2.7973        10.3199       -264.031        26.9209        266.993        162.175       -19176.2     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_20.dat
        13       0.418006        1.94244       -142.136        2.74414        7.56659        5.42513       -808.008     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_21.dat
        14        0.45082        1.91202       -137.708        2.98717        7.40793        5.43716       -807.484     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_22.dat
        15       0.428957        1.89935       -129.934        3.30891        7.26007        5.48822       -812.234     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_23.dat
        16       0.423887        1.89382       -111.803        3.89132        8.08771        6.19975       -878.815     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_24.dat
        17       0.452466        1.89566       -97.3752        3.95601        10.4497        7.56185       -1004.28     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_25.dat
        18        0.47495        1.89274       -85.8466        4.47036        18.7657        12.4774        -1471.9     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_26.dat
        19       0.631157        1.94682       -191.937        5.65424        85.4366        50.6564       -5084.98     /gpfs/hpu/EHT/HAMR/SANE/a-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_27.dat
