   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.21027        2.72072       -144.005        30.9643        18.8994        23.6401       -2636.57     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_0.dat
         1        1.05721        2.54657       -110.902        24.9822        54.4328        41.2209       -4116.66     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_10.dat
         2        1.02057        2.55359       -127.255        15.6071         24.571        20.4192       -2274.13     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_11.dat
         3       0.812704        2.48252        -123.86        12.7445        14.5758        13.5718       -1568.83     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_12.dat
         4        0.87882        2.46627       -122.537        16.3474        26.9922        22.0975       -2368.61     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_13.dat
         5       0.976939        2.60748       -154.925        23.4533        29.5247        26.5026       -2902.59     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_14.dat
         6       0.910459        2.63344       -139.694        29.0798        20.1662        23.5676       -2525.92     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_15.dat
         7       0.628304        2.61616        223.235        32.8779        15.9079        22.7501        -2419.3     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_16.dat
         8         0.6654        2.65435        234.235        23.8285        29.4685        26.6278       -2748.96     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_17.dat
         9       0.666052        2.43883        299.352        22.5392        28.3069        25.4317       -2704.82     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_18.dat
        10       0.821619        2.54494        308.346        39.9114        33.3031        35.5256       -3716.52     /gpfs/hpu/EHT/HAMR/SANE/a0/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA0_19.dat
