   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.543761        2.33633       -290.266        8.53968        7.12827        7.60269       -1024.39     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1000_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         1        0.51771        2.39614       -130.943        11.7619        34.3548        24.3401        -2583.4     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1010_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         2       0.430257        2.15036       -166.227        47.2761        59.2095        53.2502       -5311.08     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1020_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         3       0.543122        2.36553       -316.484        24.2847        16.0883         19.256       -2063.34     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1030_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         4       0.871091        2.29733       -245.328        33.0472        55.7577        45.3447        -4663.5     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1040_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         5       0.570377        2.38546       -288.153        16.4652        16.8129        16.3932       -1822.55     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1050_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         6       0.448405        2.25184       -208.139         29.548        31.2935        30.0528       -3075.65     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1060_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         7       0.569929        2.25287       -289.851        25.0973        22.7812         23.379       -2479.42     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1070_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         8       0.578204        2.30466       -173.854        63.7808        42.6397        50.7916       -5038.86     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1080_163_0_230.e9_6.2e9_1.38083e+28_1.dat
         9       0.411228        2.40534       -277.045        27.4577        36.2725        31.9923        -3288.5     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1090_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        10       0.801792        2.25099       -173.096        12.6831        26.0954        20.0572       -2247.07     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1100_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        11       0.600239        2.36535       -293.099        12.9221        46.0776        31.4515       -3233.83     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1110_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        12       0.496051        2.31392       -173.405        28.7128         31.441        29.7867       -3038.79     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1120_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        13       0.469697        2.17894       -162.329        34.5153        37.6514        35.7252       -3608.18     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1130_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        14       0.425747        2.21326       -291.852        26.2313        47.9198        38.0623       -3806.85     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1140_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        15       0.548189        2.27182       -325.194        82.3394        39.4227        56.7396       -5565.36     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1150_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        16       0.462028         2.1599       -336.109        20.7336        35.3397        28.6512       -2938.54     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1160_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        17       0.613299        2.27358       -291.138        16.4875        29.1149        23.3559       -2517.23     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1170_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        18        1.32755         2.2336       -294.226        58.1891        32.3839        42.6548        -4413.7     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1180_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        19       0.800384        2.34805       -214.266        30.0407        23.3939         25.794       -2741.51     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1190_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        20       0.824722        2.36017       -269.439        31.7938        50.4358        41.8122        -4306.3     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1200_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        21       0.448667         2.1385       -300.634        24.9937        21.9362         22.858       -2411.62     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1210_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        22       0.480877        2.40311       -243.035         9.1771        8.26855        8.51395       -1093.07     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1220_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        23       0.718111        2.73343         -154.1        40.0683        26.0227        31.4762       -3238.27     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1230_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        24       0.606637        2.50716        65.3718        30.8658        13.6878        20.6532       -2253.83     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1240_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        25       0.513696        2.19734        76.1306         33.265        58.3293        46.8894       -4667.83     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1250_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        26       0.839768          2.858        202.563        33.9791        44.5649        39.4084       -4009.41     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1260_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        27        0.46079        2.22015        49.8344         16.266        19.9038        18.0569       -1963.86     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1270_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        28       0.626238        2.37655       -157.869        25.3285        29.0751        27.0332        -2849.3     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1280_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        29       0.402611        2.22954       -273.894        32.1117        48.6695        40.9469       -4124.06     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1290_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        30       0.500233        2.44986       -306.861        34.5314        14.6943        22.7561       -2393.86     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1300_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        31       0.510859        2.44498       -207.659        51.4332        54.0103        52.0512        -5113.8     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1310_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        32       0.488696        2.47752       -187.067        59.4965        46.3285        51.0836       -4999.14     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1320_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        33       0.561544        2.66149       -321.542        82.3144         35.224         54.356        -5402.6     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1330_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        34        0.47304        2.25934       -315.967        26.7451        43.4787        35.7672       -3607.72     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1340_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        35       0.466059        2.27726       -312.957          17.73        30.3362        24.5662       -2571.59     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1350_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        36       0.530645        2.45307       -167.966        22.6471        36.1987        29.9374       -3117.84     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1360_163_0_230.e9_6.2e9_1.38083e+28_1.dat
        37       0.676453        2.35121       -285.721        19.5061        17.0428        17.7957       -1965.57     /gpfs/hpu/EHT2/IHARM/SANE/SANE_a0_288x128x128_IHARM/m_1_1_1/image_a0_1370_163_0_230.e9_6.2e9_1.38083e+28_1.dat
