   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.416261        3.08843       -301.955        3.22588        10.4352        7.24813       -979.433     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1000_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         1       0.534278        3.12318       -318.913        2.60011        15.7226        9.97479       -1224.37     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1010_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         2        0.42406        2.97512       -201.718         14.535        22.1944        18.6272       -2076.83     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1020_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         3       0.399097        3.07698       -224.485        15.2398        19.0211        17.1286       -1926.86     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1030_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         4       0.453488        3.09693        -236.58        22.0549        162.151         100.88       -10305.5     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1040_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         5       0.418609        2.96462        -208.73        12.2959        19.7964        16.3348       -1853.64     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1050_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         6       0.550188        3.30686       -192.085        8.73328        19.2685        14.5456       -1681.08     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1060_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         7        0.65003        3.15296        -218.39        1.50522        16.3369         9.8638       -1295.38     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1070_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         8       0.508782        3.07071       -287.547         8.7394        32.8122        22.2033       -2387.52     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1080_168_0_230.e9_6.2e9_7.69951e+29_160.dat
         9       0.457457        2.97509       -238.338        3.99058        12.2468        8.59205       -1124.23     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1090_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        10       0.536252        3.04987       -267.661        8.59289        52.1776        33.0876       -3421.46     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1100_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        11       0.457933         3.0559       -271.398        9.64682         15.699        12.9103       -1503.12     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1110_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        12       0.420828        3.09061       -237.563        8.63795        8.37639        8.34927       -1084.35     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1120_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        13        0.50437        3.00119       -231.519         11.403        27.6866        20.4208       -2230.09     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1130_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        14       0.460102        3.09154       -194.947        7.27159        25.8552        17.6568       -1973.65     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1140_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        15        0.45531        3.24815       -214.853         2.5365        6.84686        4.93144       -739.748     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1150_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        16       0.434538        2.93953       -197.488        17.6833        21.1193        19.3371       -2123.55     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1160_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        17       0.485855        3.04876       -232.547        4.50597        18.3852        12.2773       -1477.82     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1170_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        18       0.450237        3.04853       -250.005        6.82589        19.9888        14.1545       -1630.28     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1180_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        19       0.484895        3.23262         -194.6        9.75321        17.6335        14.0483        -1615.5     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1190_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        20       0.426065        2.99272        -213.71        4.05561        10.5193        7.64285        -1001.6     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1200_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        21       0.471822        3.23471       -161.097        9.18385        14.8873        12.2578       -1454.56     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1210_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        22       0.492368        3.29793        -235.32        5.37404         15.795        11.1765       -1344.39     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1220_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        23        0.48556        3.25914       -254.217         4.7338        5.27859        4.96454       -750.167     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1230_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        24       0.464495        3.05301       -241.955          8.406        23.2952        16.6846       -1885.29     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1240_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        25       0.469112        2.94574       -211.507        14.9214        23.2915         19.409       -2135.83     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1250_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        26       0.416953        3.02486       -275.114        6.41389         9.2145        7.89227       -1025.08     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1260_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        27       0.751977         3.0115       -348.756        12.0394        87.8624        54.6996       -5621.22     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1270_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        28       0.586627        3.34311        -163.83        4.90866        101.566        59.4608       -6246.17     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1280_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        29       0.631969         3.3149       -146.306        5.45359        28.4391        18.3565       -2048.42     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1290_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        30       0.538191        3.16887       -251.066        8.92346        48.8473        31.3436       -3226.97     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1300_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        31       0.467729        3.06859       -239.217        3.88217        6.68986        5.40583       -800.927     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1310_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        32       0.592739        3.13342       -237.917        5.17044        17.2283        11.9015       -1465.55     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1320_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        33         0.4896        3.02493        -243.91        7.87356        19.6811         14.419       -1655.55     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1330_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        34       0.670384        3.11164       -287.598        7.48283        4.61969        5.74253         -865.9     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1340_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        35       0.738917        3.21687       -286.264        16.1834        46.5624        33.0903       -3594.16     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1350_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        36       0.486972        2.82766       -197.901        17.2833        19.5539        18.2849       -2058.84     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1360_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        37       0.544311         3.1684       -196.665         3.0637        16.3034        10.4971       -1319.06     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1370_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        38       0.508708        2.94196       -175.211        8.51405        21.8351        15.9045       -1793.43     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1380_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        39       0.474685        2.80358       -210.073        14.6631        11.3179        12.5333       -1447.51     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1390_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        40       0.503695        3.11309        -196.32        2.29345        9.45939        6.30637       -883.067     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1400_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        41       0.544206        3.06744        -222.78        7.08901         4.8708        5.71966       -814.779     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1410_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        42        0.53758        3.13563       -237.032        6.37018        11.8102        9.34113       -1165.21     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1420_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        43       0.586978        3.05131       -144.119        6.59371        24.5742        16.6491       -1907.09     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1430_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        44       0.550992        3.09785       -162.774        5.78654        14.6766         10.717       -1358.81     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1440_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        45       0.613399        3.22534       -170.111        3.04917        27.2861        16.6986       -1894.94     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1450_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        46       0.476486        2.98024        -237.03        11.9434        10.9516        11.1881       -1340.69     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1460_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        47       0.582255        3.28407       -256.273        2.03881        7.06099        4.84419        -769.34     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1470_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        48       0.671697        3.21567       -248.905        19.6716         22.475        20.9354       -2266.13     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1480_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        49       0.411761        3.06944       -258.361          15.18        20.4515         17.912       -1947.75     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1490_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        50       0.425245        3.01996       -212.698        11.0413        15.2488        13.2395       -1532.74     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1500_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        51       0.637407        3.25787       -211.725        2.05485        11.1022        7.13505        -1023.2     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1510_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        52       0.488307          3.184       -181.642         3.8954        22.4175        14.3009       -1631.06     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1520_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        53       0.526606        3.07264       -209.921        3.04613        8.73961        6.21452       -918.192     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1530_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        54       0.404833        3.07401       -238.952        5.86261        12.0188        9.24661        -1171.4     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1540_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        55        0.56795         3.0504       -278.843         6.3929        17.9963        12.8471       -1519.48     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1550_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        56        0.50786        3.08548       -238.563        9.49532        8.93006        9.02101       -1132.73     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1560_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        57       0.512423         2.8399       -242.668        14.4146        20.3507        17.5348       -1971.99     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1570_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        58       0.462811        3.00457       -255.326        7.48496        11.9781        9.90254       -1209.11     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1580_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        59       0.486155        3.00812       -257.353        8.99194        6.34186        7.34746       -981.616     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1590_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        60       0.461554        3.06067       -278.718        9.53626         23.988        17.5492       -1953.55     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1600_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        61       0.592246        3.19948       -156.294        3.46539        30.8191        18.8697       -2107.44     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1610_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        62        0.91565        3.65155       -130.828        7.72598        23.7132        16.6363       -1941.04     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1620_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        63       0.450909        3.05636       -223.872         6.3416        23.5451        15.9619       -1818.67     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1630_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        64       0.471727        3.07524       -247.979        10.2117        8.83698        9.26819       -1160.25     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1640_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        65       0.763421        3.26313       -250.252        1.70044        13.8082        8.51626       -1113.03     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1650_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        66       0.475535        3.31818       -182.625        2.22571          19.65        12.0379       -1453.12     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1660_168_0_230.e9_6.2e9_7.69951e+29_160.dat
        67       0.513696        3.00731       -177.465        7.06744         29.197        19.4602       -2131.42     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_160/image_a0_1670_168_0_230.e9_6.2e9_7.69951e+29_160.dat
