   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.521243        4.84027       -177.097        35.4111        40.1579        37.5167       -3784.67     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_900_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         1       0.389035         4.4594       -323.937        17.3732        49.4369        35.2129       -3539.47     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_901_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         2       0.414788         4.2198       -322.384        13.0928         47.312        32.2206       -3281.26     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_902_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         3       0.434193        4.42346       -298.757        11.5094        22.9262        17.7747       -1944.98     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_903_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         4       0.390055        4.53454       -168.845        17.6186        30.3992        24.5552       -2593.55     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_904_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         5       0.388135        4.20007       -313.005        11.8976        48.1388        32.1878       -3290.52     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_905_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         6       0.402441        4.15073       -269.407        23.5267        43.6355         34.509       -3482.57     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_906_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         7       0.432125        4.27862       -283.786        23.0822        22.9841        22.6504       -2395.17     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_907_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         8       0.445747        4.25189       -306.559        39.7645        39.0098        38.6896       -3883.03     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_908_163_0_230.e9_6.2e9_5.2271e+27_10.dat
         9       0.482253        4.37398       -325.985        19.6576        33.0851        26.9265       -2804.62     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_909_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        10       0.467986        4.18559       -310.722        17.5714        27.4283        22.8562       -2409.47     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_910_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        11       0.515601        4.51333        -313.41        26.9179        20.0327        22.5874       -2372.71     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_911_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        12       0.472898        4.26527       -313.993        13.0871         42.756        29.6431          -3058     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_912_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        13       0.454071        4.06795       -285.583        17.9141        19.8655         18.725       -2023.72     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_913_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        14       0.463577          4.334       -301.644        29.3017        22.6177         25.046       -2607.85     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_914_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        15       0.439254        4.31563       -318.651        18.8333          30.86        25.3239       -2649.26     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_915_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        16       0.538333        4.46817       -314.594        28.5368        18.7321        22.5297       -2377.34     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_916_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        17       0.641634        4.43099       -321.709        25.7086        34.0914        30.0276       -3105.96     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_917_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        18       0.696047        4.60452       -315.348        36.2489        21.8549        27.5221       -2846.99     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_918_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        19       0.666968        4.77485       -337.409        23.7366        38.5539        31.7246       -3258.02     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_919_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        20       0.504682        4.17669       -216.109        21.6193        34.5541        28.5778       -2941.95     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_920_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        21       0.481191        3.93867        -307.64         16.576        24.8702        20.9938       -2235.22     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_921_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        22       0.586111        4.15593       -307.332        21.6709        32.3631         27.361       -2870.98     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_922_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        23       0.410142        3.96357       -306.051        20.2475        32.2539        26.7036       -2771.96     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_923_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        24       0.432493        4.24538       -184.529        17.7012        28.1949        23.3439        -2454.6     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_924_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        25        0.50235         4.2325       -287.957        19.0391        12.2188        14.8737       -1659.84     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_925_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        26       0.470168        4.18337       -297.535        18.3158        14.4755        15.8465       -1746.31     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_926_163_0_230.e9_6.2e9_5.2271e+27_10.dat
        27       0.502782         4.2581       -308.097         23.508        17.6148        19.7938       -2134.43     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.88_300x192x192_KORAL/m_1_1_10/image_a+0.88_927_163_0_230.e9_6.2e9_5.2271e+27_10.dat
