   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.676265        3.81528       -306.786        27.5156        16.3458        20.7536       -2230.17     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1000.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         1       0.624781        3.77682       -302.252        23.0666        21.9377        22.0524       -2325.38     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1001.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         2        0.81441        3.91446       -310.519        31.4456        24.1551        26.8122        -2819.5     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1002.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         3       0.743076        3.77786       -314.783         22.589        41.8764        33.1223       -3399.74     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1003.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         4       0.591574        3.63706       -283.592         31.211        38.2586        34.6855        -3531.5     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1004.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         5        0.56092        3.68378       -289.189        26.3493        28.7779        27.2924       -2821.67     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1005.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         6       0.616779        3.73549        -284.15        20.2498        11.9072        15.2042        -1709.7     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1006.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         7       0.620658        3.83325       -296.033        42.5209        29.1618        34.2768       -3458.78     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1007.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         8       0.603666        3.81459       -313.159        26.2358        32.8169        29.5278       -3050.14     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1008.163_0_230.e9_6.2e9_2.50346e+27_80.dat
         9       0.894471        3.89084        -302.54        26.1071        15.2917        19.5684       -2212.45     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1009.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        10        1.00524        3.75338       -291.973        37.0802        12.8201        22.7634       -2486.31     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1010.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        11        1.09105        3.78507       -299.236        36.1337        14.4416        23.2838       -2532.55     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1011.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        12       0.881869        3.72859       -147.669          10.82        43.6034        29.1733       -3132.88     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1012.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        13       0.993964        3.90028       -305.496         39.837        16.2299        25.8443        -2897.7     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1013.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        14        1.01181         3.7473       -255.173        50.5688         51.861        50.4747       -5052.96     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1014.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        15       0.862244        3.88971       -299.011        55.6507        35.8998        43.5798       -4509.03     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1015.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        16       0.756597        3.80069       -295.414        30.2232        25.7074         27.178       -2863.75     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1016.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        17       0.767422        3.84837        -289.71        30.9414        16.0058        21.9951       -2388.72     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1017.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        18       0.774458        3.86909       -291.702        26.6649         28.999        27.5494       -2899.24     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1018.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        19        0.61165        3.78327       -156.536        10.8315        25.7259        19.0735       -2127.29     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1019.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        20       0.557875        3.76456       -157.853        16.6786        30.0227         23.949       -2550.56     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1020.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        21       0.529711        3.70038       -294.104        21.4668         31.498        26.7866       -2780.98     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1021.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        22       0.690822        3.92243       -300.017        58.1496        36.4577        44.9409       -4569.79     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1022.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        23       0.684951        4.05318       -307.034        43.3279        55.5988        49.5572       -4945.13     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1023.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        24       0.670336        3.87594        -304.57        29.8216        44.3904        37.5699       -3810.49     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1024.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        25        0.62639        3.79069       -294.629        33.5662        33.2105        32.8179       -3345.67     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1025.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        26       0.597573        3.73246       -295.052        36.4348        40.0642        37.8922       -3798.77     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1026.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        27       0.551657        3.93917       -283.121        32.3389        32.5694        31.9419       -3227.61     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1027.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        28       0.555228         3.8321        -291.09        31.8234         29.866        30.1982       -3072.31     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1028.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        29       0.515068        3.89721       -295.561        41.8648          41.24        40.8291       -4054.98     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1029.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        30       0.548785        3.89253       -294.937         26.031         40.362        33.7067       -3391.34     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1030.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        31       0.488293        3.75083       -303.824        20.6552         46.878          35.14       -3531.59     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1031.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        32        0.51905        3.77182       -296.126        23.2761        37.1348        30.7297        -3119.2     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1032.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        33       0.521371        3.78766       -291.443         26.101        29.3738        27.5253       -2820.43     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1033.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        34       0.513392        3.74534       -291.968        25.8705        32.7397        29.3313       -2984.78     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1034.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        35       0.621945        3.65074       -173.784        33.6174        37.7913        35.4284       -3609.95     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1035.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        36       0.570388        3.60961       -307.152        27.7586        46.3038        37.7881       -3802.98     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1036.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        37       0.560591        3.60314       -304.254        25.7872         37.481        31.9763       -3270.16     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1037.163_0_230.e9_6.2e9_2.50346e+27_80.dat
        38       0.522731        3.59342       -297.554        23.3256        29.9342        26.6806       -2759.86     /gpfs/hpu/EHT2/supplementary/Moscibrodzka+2016/a+0.94/m_1_1_80/image_a+0.94.1038.163_0_230.e9_6.2e9_2.50346e+27_80.dat
