   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.328912        3.75632        115.791        6.33415        9.53121        8.06624       -855.672     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0000_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         1       0.675795        3.71505        232.268         31.563        52.0118        42.8436       -3361.02     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0001_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         2       0.476928        3.48985         175.76        8.39177        9.49317        8.84841       -915.525     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0002_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         3       0.630752         3.8753        97.4559        76.4751        88.1328        81.5869       -8206.49     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0003_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         4       0.555536        3.58325        184.691        12.7369        13.2849         12.771       -1125.09     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0004_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         5       0.678645        3.33275        189.782         15.086        29.7668        23.3555       -1994.64     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0005_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         6       0.718518        3.23323        -262.47        6.34025        14.8645        11.1964       -1081.09     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0006_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         7       0.484479        3.15379        -153.01        21.0816        20.3346         20.168        -1641.3     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0007_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         8       0.632149          3.246       -224.435        11.7942        19.4551         16.021       -1348.18     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0008_163_0_230.e9_6.2e9_1.23416e+25_10.dat
         9        0.56029        3.27245        -227.05         63.405        35.2776         45.479       -3567.29     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0009_163_0_230.e9_6.2e9_1.23416e+25_10.dat
        10       0.489563        2.80249       -136.836        21.1773        18.4346        19.0911          -1563     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0010_163_0_230.e9_6.2e9_1.23416e+25_10.dat
        11       0.671452        3.94728       -183.857        6.82743        12.3984         9.9406        -943.91     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0011_163_0_230.e9_6.2e9_1.23416e+25_10.dat
        12       0.690485        3.34033       -233.247        13.8718        23.2637        19.0669        -1702.7     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0012_163_0_230.e9_6.2e9_1.23416e+25_10.dat
