   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.386812        3.79421        119.013        5.78054        8.16103        7.04623       -793.447     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0000_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         1       0.547975        3.75303        232.923        25.7306        37.5004        32.0528       -2505.56     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0001_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         2       0.414918        3.49005        176.494        8.63275        6.86579        7.40176       -809.905     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0002_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         3       0.620473        3.82153        98.7287        51.3673        65.6884        58.6075        -7427.6     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0003_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         4       0.490737        3.57639       -175.507         12.804        9.90614        10.8157       -990.909     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0004_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         5       0.702291        3.36699       -169.601        13.6123         27.728        21.5837       -1867.94     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0005_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         6       0.635493        3.21046       -259.914        9.58949        11.3263        10.3918       -993.296     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0006_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         7       0.507934        3.17408       -154.064        26.1699        16.8069        20.0885       -1633.87     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0007_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         8       0.677179        3.21618        -225.79        16.4763        19.2909        17.7553       -1463.54     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0008_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         9       0.836101        3.29671       -254.959        44.7063        21.5805        30.1354       -2493.52     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0009_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        10       0.543037        2.87477       -136.693         20.204         14.793        16.5749       -1385.04     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0010_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        11       0.640964        4.02115       -183.425        6.11152        10.3215        8.44267       -849.775     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0011_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        12       0.817519        3.39392       -232.816        12.5447        16.8158        14.7666       -1413.09     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0012_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        13       0.710276        3.25319       -282.843         35.084        93.1853        68.3671       -5182.92     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0013_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        14       0.970487        3.94092       -260.529        24.2734        23.3319        23.1737       -1921.77     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0014_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        15        1.02613        3.27688       -282.419        35.3144        24.7438        28.3185       -2399.01     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0015_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        16       0.983539        3.60767       -298.958        19.0805        18.9823        18.5925       -1580.67     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0016_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        17        0.53713        3.03738       -305.284        32.8551         56.312        45.8707       -3333.62     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0017_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        18       0.763185        2.66382        -280.91         26.763        340.762        210.309       -14837.8     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0018_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        19        1.82547        4.20873        -245.83        9.25154        69.7842        44.5432       -3391.52     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0019_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        20        1.26354        4.20596       -296.054        51.5145        144.583        104.934       -7564.07     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0020_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        21         1.0791         4.0512        -223.51        10.9797        19.8414        15.9291       -1442.36     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0021_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        22       0.770806        3.27678       -176.994        18.3665         11.224        13.7634       -1294.84     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0022_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        23        0.84994        3.68981       -186.241        20.9683        10.5909        14.4093       -1341.93     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0023_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        24        0.58361        3.75421       -196.719        22.1187        17.5058        18.9145       -1593.81     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0024_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        25       0.496228        3.35366       -209.684         7.6138        6.92374        7.03736       -744.749     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0025_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        26       0.807855        3.72569       -175.631        55.2015        44.8268         47.872       -3532.02     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0026_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        27        2.25695        6.25739       -235.933        82.8554        65.4335        70.7691        -5257.1     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0027_158_0_230.e9_6.2e9_1.21744e+25_10.dat
