   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.419577        4.61033       -211.328        25.8135        12.1294         17.206       -1427.17     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0600_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         1       0.546899         4.3997       -178.336          40.06         12.351         22.906       -1867.31     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0606_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         2       0.591665        4.57013        -165.87        56.6746        19.3141        33.4856       -2581.21     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0612_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         3        0.49549        4.39526       -174.543        47.9649        15.8254        28.0343       -2177.29     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0618_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         4        0.48925        4.27075        -260.92        28.9775        32.6095        30.4539       -2357.55     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0624_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         5       0.525012        4.44045       -267.489        23.3093        30.5637         27.038       -2105.74     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0630_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         6        1.11434        5.55329       -173.306        45.8049        28.0579        34.3637       -2675.61     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0636_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         7       0.599453        4.67752       -170.401        59.5553        21.0688        35.6409       -2711.17     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0642_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         8       0.442239        5.03109       -172.397        36.7442        18.2239        25.0539       -1967.26     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0648_158_0_230.e9_6.2e9_1.74187e+27_20.dat
         9       0.473311         4.8292       -176.461        55.3028        27.3928        37.6871       -2812.66     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_20/image_a+0.94_0654_158_0_230.e9_6.2e9_1.74187e+27_20.dat
