   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.679796        3.73116       -206.403        7.80136        25.0159        17.3245       -2719.76     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0000_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         1       0.585288        4.08185       -172.866        19.5945        19.4034        19.2498       -2831.05     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0001_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         2        1.41789        4.59738       -170.444        12.5466        20.7614        16.9839        -2622.1     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0002_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         3       0.557774        4.19056       -174.745        11.0439        14.1079        12.6216       -1976.36     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0003_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         4       0.710922        4.19974       -179.489        15.8996        12.5762        13.8497       -2179.79     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0004_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         5       0.823156         3.8667       -176.366        13.9637        9.83558        11.4877       -1971.96     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0005_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         6       0.901991        4.49192       -168.343         7.8511        14.1236        11.2602       -1947.91     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0006_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         7       0.917639        4.30934       -168.724        24.0777        10.0459        15.9456       -2526.76     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0007_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         8       0.571978         4.1346       -173.904        16.4299        10.6729        13.0139       -2066.18     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0008_158_0_230.e9_6.2e9_7.37722e+24_20.dat
         9       0.655471        4.10331       -185.773        23.4266        15.6433        18.7935          -2816     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0009_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        10       0.691702        4.19115       -184.694        14.0257        15.6578        14.7672       -2358.44     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0010_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        11       0.556922        4.19136       -192.759        6.15527        11.2001        8.89907       -1571.94     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0011_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        12       0.446894        4.14813       -259.012        6.20716        7.19276        6.68243       -1194.24     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0012_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        13       0.970324          4.021       -195.918        11.1116        6.84709        8.59404       -1622.66     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0013_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        14       0.510629        4.08683       -193.535        6.86696        9.29854        8.14209       -1453.81     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0014_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        15       0.729339        4.17687       -182.904        10.2294        10.8519        10.4529       -1826.38     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0015_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        16       0.694658        4.53362        -179.45        14.3709        9.46769        11.4569       -1866.92     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0016_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        17       0.525602        3.92987       -201.707        16.1542        7.82814        11.3062       -1810.98     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0017_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        18       0.634588        3.86408       -204.317         4.5439        6.46947        5.56453       -1184.98     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0018_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        19       0.494834        4.27245       -183.799        7.43412        8.37595        7.87003       -1383.28     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0019_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        20       0.520043        4.16428       -202.286        9.79546        7.55811        8.42647          -1434     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0020_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        21        0.60145        4.23975       -196.393         10.476        8.97098        9.50788       -1615.88     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0021_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        22       0.456244        3.94958       -213.078        7.17113        7.97177        7.53135       -1342.04     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0022_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        23       0.539048        3.90454       -219.608        6.33573          11.53        9.16085       -1540.83     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0023_158_0_230.e9_6.2e9_7.37722e+24_20.dat
        24       0.819162        4.28963       -301.806        14.9949        11.1994        12.6922       -2044.46     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_0024_158_0_230.e9_6.2e9_7.37722e+24_20.dat
