   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.433015        4.47767       -192.946        20.9979        10.9766        15.1439       -2326.13     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0600_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         1        0.72754        4.54898       -166.091         23.506        10.3742        15.8837       -2507.37     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0606_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         2       0.671012        4.54493       -162.015        26.3658         10.627        17.2523       -2644.52     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0612_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         3       0.578249        4.40042       -161.727        28.0662        9.75053        17.4923       -2643.75     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0618_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         4       0.459954        4.44259        -163.32        24.0161        9.60419        15.6724       -2364.99     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0624_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         5       0.537857        4.07084       -160.347        28.7851        12.0401          19.08       -2849.57     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0630_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         6       0.712107        4.75199       -171.826        27.0078        11.6429        18.0953       -2735.24     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0636_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         7       0.547693        4.43293       -164.781        26.7044        13.8159        19.1792       -2852.11     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0642_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         8       0.481058        4.89673       -169.932        26.8873        13.4718        19.0654       -2774.85     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0648_158_0_230.e9_6.2e9_7.59354e+26_10.dat
         9       0.509255        4.87574       -175.957        35.3869        14.7815        23.4448       -3326.57     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0654_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        10       0.637984        5.03893       -176.059          32.29        12.7766        20.9956        -3044.3     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0660_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        11       0.599508         4.5739       -183.659        34.5447        14.3877        22.8633       -3270.58     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0666_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        12       0.495356        4.55995       -183.639        20.8821        11.0122        15.1141       -2291.79     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0672_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        13       0.501003        4.70944       -195.476        25.1618        13.0659        18.0981          -2660     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0678_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        14       0.539081        4.81813       -198.341        30.4967        12.9811        20.3402       -2927.57     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0684_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        15       0.524795         4.8059       -201.077        23.0853        10.8722        15.9814       -2388.05     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0690_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        16       0.590574        4.58723       -184.775        25.7616        14.2231        19.0021       -2829.68     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0696_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        17       0.676783        4.40117       -179.636        26.9495        10.5969        17.4859       -2630.35     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0702_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        18       0.865262        4.59946       -171.117        34.6421        18.4424        25.1705       -3671.84     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0708_158_0_230.e9_6.2e9_7.59354e+26_10.dat
        19       0.718351        4.53297       -178.706        26.4929        11.7603          17.94       -2735.38     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a+0.94_288x128x128_IHARM/m_1_1_10/image_a+0.94_0714_158_0_230.e9_6.2e9_7.59354e+26_10.dat
