   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName     VA Data file     CP Data file
         0       0.459811        1.72124       -209.652        3.02864        5.79304        4.48904       -987.934     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0000_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0000_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=13_netcal_scanavg_cphase.d
         0       0.639231        1.73709       -211.105        7.91026        2.74956        5.02435       -1064.45     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0001_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=21_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0001_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=21_netcal_scanavg_cphase.d
         0       0.476905        1.55784        156.037        2.52596        2.26671        2.35921       -723.584     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0002_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0002_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=23_netcal_scanavg_cphase.d
         0       0.689077        1.67863        161.356        12.5406        2.92015        7.18673        -1346.4     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0003_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0003_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg_cphase.d
         0       0.603781        1.62886        162.729        12.0407        3.72533        7.39897       -1376.96     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0004_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=19_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0004_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=19_netcal_scanavg_cphase.d
         0       0.658935        1.73467        169.652        4.87058        3.68025         4.1691       -956.279     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0005_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0005_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg_cphase.d
         0       0.675283        1.67041        168.395        10.8485        5.47784        7.81439       -1443.16     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0006_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=19_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0006_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=19_netcal_scanavg_cphase.d
         0       0.511233        1.47462        168.044        5.15504        3.16379        4.01678       -936.433     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0007_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0007_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg_cphase.d
         0       0.587929        1.46362        -184.41        7.04054        7.79378        7.36535        -1373.8     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0008_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=19_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0008_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=19_netcal_scanavg_cphase.d
         0       0.777215        1.92926       -161.405        5.39494        12.0107        8.91177       -1565.93     /gpfs/abroderick/EHT2/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/VM_image_a+0.5_0009_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/MAD/MAD_a+0.5_384x192x192_IHARM/m_1_1_20_changeup/CP_image_a+0.5_0009_163_0_230.e9_6.2e9_1.23868e+25_20_simdata_3598_seed=22_netcal_scanavg_cphase.d
