   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName     VA Data file     CP Data file
         0       0.462674        1.77125       -185.352        1.17305       0.911265        1.00328       -389.449     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_00_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         1       0.573862        1.86778       -165.012        2.13639        1.14974        1.54513       -430.687     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_01_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         2       0.566965        1.90495       -170.691        1.49177         1.2969        1.35223       -416.501     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_02_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         3       0.580024        1.91563       -191.623        1.44112       0.999569         1.1662       -399.739     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_03_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         4       0.565354        1.86342       -180.239       0.903366        2.26442        1.63707       -436.503     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_04_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         5        0.57594        1.64808        -250.76        3.29227        2.33677        2.69365        -504.95     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_05_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         6       0.606602        2.00051       -197.167        1.43654        1.93295        1.68059       -434.672     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_06_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         7       0.644212        1.89119       -192.195       0.976777        1.15114        1.05245       -392.057     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_07_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         8       0.546558        1.83569       -146.085        1.48988        1.29981        1.35303       -416.075     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_08_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         9       0.553894        1.93201       -196.526        1.03317       0.988791       0.986639       -383.161     /gpfs/abroderick/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/image_a+0.94_09_163_0_230.e9_6.2e9_5.51354e+42_20.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_20/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
