   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName     VA Data file     CP Data file
         0       0.612186        3.49765        278.082        8.08748        25.0257        17.4149       -2719.61     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         1       0.457181        3.48718        279.162        5.67678        8.24009        7.03447       -1289.73     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         2       0.546157        3.18778         267.23        6.08045         15.452        11.2217       -1870.54     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         3       0.457097        3.24161        264.288        4.88162        6.50085        5.72359       -1101.65     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         4       0.577633        3.46621        289.866        7.42078        26.1526        17.7543       -2748.68     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         5       0.439848        3.44627        286.539        5.72703        8.79537        7.36514       -1327.04     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         6       0.603472        3.42271        274.581        7.80138        21.6467        15.4113       -2452.99     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         7       0.462259        3.42722        275.471        5.53591        7.45458        6.53659       -1220.54     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         8       0.581543        3.33734        271.997        7.28714        18.5517        13.4672       -2187.56     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_40/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
         9       0.462096        3.35754        271.849        5.37304        6.86412        6.13776       -1162.34     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_40/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        10       0.562316        3.25872        269.586        6.70896        16.5305         12.093       -1995.11     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_80/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        11       0.460216        3.29572        267.997        5.18952        6.57959        5.90025       -1126.51     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_80/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        12       0.886006        3.62187        153.017        10.1997        66.5336        41.4234       -6516.32     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a-0.5_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        13       0.435644        3.76763        300.249        2.83581        9.41473        6.46235       -1233.69     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        14       0.806361        3.53629        152.504        9.41712        51.1544         32.528       -5199.68     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a-0.5_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        15       0.416361        3.72758       -16.2422        5.59761        5.89981        5.69806       -1134.37     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.5_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        16       0.798437        3.45859       -226.982        7.28381        40.0072        25.4047        -3926.5     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a-0.5_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        17       0.427761        3.59849        296.883        2.23001        5.34945        3.93885       -894.915     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        18       0.598103          3.309       -237.148        4.05385        14.2509        9.67898       -1751.42     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a-0.5_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        19        0.43313        3.58259        -10.657        8.60056        6.49245        7.32346       -1343.51     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.5_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        20       0.902164        3.61171        155.085        8.38342        99.2151        58.8255       -9370.26     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a-0.5_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        21       0.455167        3.65858       -57.6393         3.4579        13.2195        8.84795       -1554.36     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        22        0.85534        3.57226         259.39        6.28722        99.3369        57.9888       -9925.58     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a-0.5_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        23       0.401525        3.59985       -27.2109         4.4392        5.48136        4.96541       -1027.25     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.5_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        24       0.881447        3.57584        151.139        10.0449        60.2266        37.8471       -5882.31     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a-0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        25       0.434824        3.73764        299.263        2.67387        8.27103        5.75607       -1138.51     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        26       0.761256        3.45093        141.165        8.75457        37.0805        24.4107       -3895.35     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a-0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        27       0.423284        3.70209       -13.7054        6.19029         6.0699        6.04842       -1181.54     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.5_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        28       0.850482        3.52815        146.934        9.40138        54.5254         34.397       -5245.59     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a-0.5_384x192x192_IHARM/m_1_1_40/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        29       0.433439        3.69653       -61.5187         2.4913         7.2407        5.10397       -1051.42     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_40/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        30       0.780544        3.35616        132.456        7.68696         26.014        17.7921       -2898.21     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a-0.5_384x192x192_IHARM/m_1_1_40/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        31       0.429156        3.66642       -12.0746        6.87273        6.22266        6.42786       -1230.75     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.5_384x192x192_IHARM/m_1_1_40/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        32       0.804147         3.4967        141.313         8.3659        48.2004        30.4307       -4599.28     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        33       0.430288        3.65276       -62.4331        2.32641        6.27118        4.49334       -969.664     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.5_384x192x192_IHARM/m_1_1_80/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        34       0.707173        3.32074         127.25        5.75576        19.3494        13.2503       -2250.09     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a-0.5_384x192x192_IHARM/m_1_1_80/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        35       0.430128        3.62833       -11.1171        7.68821        6.36963        6.86148       -1285.69     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.5_384x192x192_IHARM/m_1_1_80/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        36       0.447133        3.81484        306.462        2.94312        5.56454        4.36621       -945.842     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.75_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        37       0.470016        3.84252        356.753         7.2847        5.80108        6.37102       -1243.71     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.75_384x192x192_IHARM/m_1_1_10/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        38       0.459079        3.67849        310.473        2.99575        3.89603        3.46047       -821.584     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.75_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        39       0.489065        3.68013        358.285         9.9749         6.8483        8.11444        -1461.2     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.75_384x192x192_IHARM/m_1_1_160/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        40       0.454848        3.68592        308.686        3.15113        8.41512        6.04217       -1170.89     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.75_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        41       0.451388         3.6989        352.077        5.55801        5.25353        5.32135       -1101.55     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.75_384x192x192_IHARM/m_1_1_1/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        42       0.450705        3.79554        306.215        2.97259        4.94431         4.0338       -899.812     /gpfs/abroderick/EHT2/IHARM_inc-5/MAD_a+0.75_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
        43       0.480131        3.81676        357.817        7.86159        6.06318        6.76576       -1294.84     /gpfs/abroderick/EHT2/IHARM_inc+5/MAD_a+0.75_384x192x192_IHARM/m_1_1_20/simulation_average.dat     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/VM_hops_3598_M87+netcal.d     /home/abroderick/Themis/Themis/eht_data/ER5/Mexico/Processed_1/hi/CP_hops_3598_M87+netcal.d
